Codi_barri;Nom_barri;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013
1;el Raval  ;1.207;1.626;2.003;1.467;1.929;1.918;2.003;1.733;1.484;1.583;1.522
2;el Barri Gòtic  ;614;882;1.050;730;890;967;808;785;684;630;611
3;la Barceloneta  ;236;341;362;274;385;415;857;789;703;566;533
4;Sant Pere, Santa Caterina i la Ribera  ;857;1.109;1.356;991;1.340;1.307;1.309;1.177;1.014;982;869
5;el Fort Pienc  ;770;1.033;1.398;914;1.144;1.191;1.054;870;806;910;862
6;la Sagrada Família  ;1.338;1.748;2.225;1.510;1.977;2.002;1.756;1.485;1.456;1.461;1.505
7;la Dreta de l'Eixample  ;1.514;1.808;2.313;1.628;2.077;2.212;1.871;1.611;1.422;1.430;1.355
8;l'Antiga Esquerra de l'Eixample  ;1.479;1.946;2.407;1.599;2.111;2.192;1.928;1.625;1.506;1.614;1.498
9;la Nova Esquerra de l'Eixample  ;1.530;2.080;2.631;1.740;2.236;2.404;2.064;1.766;1.727;1.794;1.668
10;Sant Antoni  ;981;1.359;1.714;1.078;1.449;1.512;1.351;1.100;1.083;1.165;1.127
11;el Poble Sec - AEI Parc Montjuïc  ;863;1.190;1.502;1.062;1.301;1.471;1.211;1.150;1.009;1.109;1.124
12;la Marina del Prat Vermell - AEI Zona Franca  ;93;65;7;5;63;3;4;10;21;4;1
13;la Marina de Port  ;302;435;472;317;411;463;402;380;354;392;344
14;la Font de la Guatlla  ;238;272;317;239;320;365;277;263;202;263;196
15;Hostafrancs  ;407;463;634;443;522;646;566;435;454;489;460
16;la Bordeta  ;550;693;480;324;395;450;420;268;307;372;334
17;Sants - Badal  ;503;693;883;627;756;781;651;609;634;666;568
18;Sants  ;1.029;1.389;1.583;1.197;1.448;1.590;1.399;1.170;1.068;1.230;1.075
19;les Corts  ;1.018;1.299;1.611;1.111;1.394;1.436;1.323;1.109;988;1.013;916
20;la Maternitat i Sant Ramon  ;440;605;727;531;651;688;612;549;517;501;472
21;Pedralbes  ;191;229;231;200;255;233;196;189;195;199;157
22;Vallvidrera, el Tibidabo i les Planes  ;62;88;70;67;77;96;69;66;52;44;25
23;Sarrià  ;584;677;873;647;788;812;681;585;507;516;481
24;les Tres Torres  ;272;380;399;356;408;421;336;330;297;309;287
25;Sant Gervasi - la Bonanova  ;627;877;1.019;687;960;928;802;727;732;663;543
26;Sant Gervasi - Galvany  ;1.446;1.828;1.997;1.411;1.774;1.787;1.530;1.395;1.265;1.340;1.169
27;el Putxet i el Farró  ;886;1.257;1.464;1.001;1.338;1.261;1.198;1.004;1.016;938;884
28;Vallcarca i els Penitents  ;413;539;619;444;558;562;552;459;417;394;338
29;el Coll  ;159;195;231;162;214;223;193;198;162;174;138
30;la Salut  ;284;404;422;271;388;396;406;300;284;311;328
31;la Vila de Gràcia  ;1.781;2.430;2.978;2.074;2.682;2.686;2.570;2.191;2.105;2.224;1.943
32;el Camp d'en Grassot i Gràcia Nova  ;881;1.164;1.445;944;1.256;1.352;1.129;903;941;937;883
33;el Baix Guinardó  ;538;684;865;620;777;813;746;609;605;601;568
34;Can Baró  ;177;239;277;200;265;285;269;207;211;213;153
35;el Guinardó  ;841;1.048;1.184;886;1.085;1.076;1.061;889;808;918;717
36;la Font d'en Fargues  ;127;118;147;108;147;138;128;123;110;93;102
37;el Carmel  ;556;658;707;571;716;772;715;613;559;637;566
38;la Teixonera  ;242;277;302;235;289;295;301;311;254;242;197
39;Sant Genís dels Agudells  ;113;174;145;108;175;215;170;164;146;170;148
40;Montbau  ;120;156;155;93;177;154;141;141;104;70;67
41;la Vall d'Hebron  ;61;85;114;76;108;100;76;77;62;49;50
42;la Clota  ;9;5;7;9;11;14;8;15;12;8;1
43;Horta  ;494;588;637;429;629;651;582;505;427;444;419
44;Vilapicina i la Torre Llobeta  ;425;551;610;448;584;598;585;450;395;446;410
45;Porta  ;407;531;550;405;539;663;557;489;490;521;426
46;el Turó de la Peira  ;275;348;395;300;400;380;349;300;259;303;306
47;Can Peguera  ;2;5;5;6;7;7;14;18;11;33;17
48;la Guineueta  ;196;275;270;256;270;343;287;241;188;237;199
49;Canyelles  ;43;40;39;54;51;34;47;38;21;39;34
50;les Roquetes  ;207;272;259;221;258;270;285;264;248;272;263
51;Verdun  ;214;272;234;217;287;292;241;232;236;232;187
52;la Prosperitat  ;398;481;531;440;555;562;487;473;463;491;462
53;la Trinitat Nova  ;94;124;131;82;116;125;121;116;113;124;99
54;Torre Baró  ;12;12;14;16;15;21;30;29;21;28;7
55;Ciutat Meridiana  ;113;104;115;92;126;142;127;122;115;146;161
56;Vallbona  ;5;11;7;9;11;7;16;16;12;8;4
57;la Trinitat Vella  ;127;150;167;134;158;174;174;162;143;166;138
58;Baró de Viver  ;10;7;18;13;9;20;11;18;25;28;36
59;el Bon Pastor  ;181;163;165;174;158;185;167;159;173;159;146
60;Sant Andreu  ;910;1.104;1.231;923;1.149;1.268;1.126;961;934;1.038;883
