Codi_barri;Nom_barri;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
1;el Raval  ;15,89;15,22;12,91;14,04;14,32;14,02;13,92;12,26;11,1;10,47
2;el Barri Gòtic  ;16,44;15,65;12,59;13,63;14,3;13,8;14,19;13,04;11,21;10,54
3;la Barceloneta  ;18,98;18,77;16;17,28;17,4;16,88;19,84;18,18;16,33;15,15
4;Sant Pere, Santa Caterina i la Ribera  ;17,41;16,05;13,59;14,62;15,16;15,02;15,71;14,09;12,7;11,24
5;el Fort Pienc  ;16,08;14,38;13,05;13,9;14,02;13,13;13,11;11,76;10,89;9,98
6;la Sagrada Família  ;16,7;15,31;13,58;14,31;14,48;13,71;13,35;12,2;11,11;10,46
7;la Dreta de l'Eixample  ;16,59;15;13,15;14,16;14,4;13,96;13,54;12,86;11,29;10,06
8;l'Antiga Esquerra de l'Eixample  ;16,75;15,2;13,65;14,32;14,48;14,05;13,73;12,73;11,37;10,48
9;la Nova Esquerra de l'Eixample  ;16,68;14,95;13,44;14,42;14,52;13,92;13,55;12,37;11,27;10,42
10;Sant Antoni  ;15,87;14,4;12,96;13,95;13,85;13,17;13,02;12,08;10,96;10,01
11;el Poble Sec - AEI Parc Montjuïc  ;16;15,23;13,62;14,26;14,36;13,85;13,69;12,28;11,09;10,19
12;la Marina del Prat Vermell - AEI Zona Franca  ;13,39;7,19;5,9;nd;7,1;nd;nd;5,87;6,61;nd
13;la Marina de Port  ;12,58;10,6;10,71;11,15;10,83;10,58;10,36;8,87;8,36;7,99
14;la Font de la Guatlla  ;15,82;14,06;12,75;13,32;12,84;12,37;13,03;12,05;11,33;10,62
15;Hostafrancs  ;15,81;14,24;13,14;13,96;13,83;13,54;12,91;12,16;11,12;10,27
16;la Bordeta  ;21,06;13,42;12,34;12,98;12,76;12,15;11,94;10,82;9,84;9,31
17;Sants - Badal  ;15,68;14,44;13,17;13,83;13,82;13,04;13,15;11,75;10,74;9,94
18;Sants  ;15,76;14,18;13,12;13,86;13,84;13,15;13,18;11,89;10,99;10,07
19;les Corts  ;17,08;15,44;14,06;14,86;15,05;14,84;14,33;13,04;11,85;11,07
20;la Maternitat i Sant Ramon  ;15,76;14,78;12,98;13,97;14,45;13,59;13,37;12,91;11,42;10,38
21;Pedralbes  ;17,48;15,25;15,06;15,47;15,69;15,35;16,21;14,65;14,15;12,33
