Codi_Sector_Activitat,Nom_Activitat,Comentari_Activitat,Codi_Grup_Activitat,Nom_Sector_Activitat,Codi_Principal_Activitat,Codi_Activitat_2019,Nom_Grup_Activitat,Nom_Principal_Activitat,_id,Codi_Activitat_2016
1,Resta alimentació,,1,Comerç al detall,1,1000000,Quotidià alimentari,Actiu,1,1000
1,Plats preparats (no degustació),,1,Comerç al detall,1,1000010,Quotidià alimentari,Actiu,2,100001
1,Autoservei / Supermercat,,1,Comerç al detall,1,1000020,Quotidià alimentari,Actiu,3,100002
1,Altres,"Inclou fruits secs, congelats, llaminadures, xurreries, ...",1,Comerç al detall,1,1000030,Quotidià alimentari,Actiu,4,100003
1,Begudes,,1,Comerç al detall,1,1001000,Quotidià alimentari,Actiu,5,1001
1,Carn i Porc,,1,Comerç al detall,1,1002000,Quotidià alimentari,Actiu,6,1002
1,Fruites i verdures,,1,Comerç al detall,1,1003000,Quotidià alimentari,Actiu,7,1003
1,Ous i aus,,1,Comerç al detall,1,1005000,Quotidià alimentari,Actiu,8,1005
1,"Pa, pastisseria i làctics","inclou forns, venda xurros , venda xocolata, venda gelats dolços , llaminadures",1,Comerç al detall,1,1006000,Quotidià alimentari,Actiu,9,1006
1,Peix i marisc,,1,Comerç al detall,1,1007000,Quotidià alimentari,Actiu,10,1007
1,Tabac i articles fumadors,,2,Comerç al detall,1,1008000,Quotidià no alimentari,Actiu,11,1008
1,Combustibles i carburants,,2,Comerç al detall,1,2000000,Quotidià no alimentari,Actiu,12,2000
1,Drogueria i perfumeria,,2,Comerç al detall,1,2001000,Quotidià no alimentari,Actiu,13,2001
1,Farmàcies PARAFARMÀCIA,,2,Comerç al detall,1,2002000,Quotidià no alimentari,Actiu,14,2002
1,"Herbolaris, dietètica i NUTRICIÓ",,2,Comerç al detall,1,2003000,Quotidià no alimentari,Actiu,15,2003
1,Aparells domèstics,,3,Comerç al detall,1,3000000,Parament de la llar,Actiu,16,3000
1,Floristeries,,3,Comerç al detall,1,3001000,Parament de la llar,Actiu,17,3001
1,Material equipament llar,"Revestiments parets / terra, aparells il·luminació, material elèctric, parament llar, portes, finestres, bricolage, materials construcció, lavabos...",3,Comerç al detall,1,3002000,Parament de la llar,Actiu,18,3002
1,Mobles i articles fusta i metall,"Mobles, mobles d'oficina, mobles de cuina",3,Comerç al detall,1,3003000,Parament de la llar,Actiu,19,3003
1,Parament ferreteria,,3,Comerç al detall,1,3004000,Parament de la llar,Actiu,20,3004
1,Calçat i pell,,4,Comerç al detall,1,4000000,Equipament personal,Actiu,21,4000
1,"Joieria, rellotgeria i bijuteria",,4,Comerç al detall,1,4001000,Equipament personal,Actiu,22,4001
1,Merceria,Merceria i tèxtils per a la llar,4,Comerç al detall,1,4002000,Equipament personal,Actiu,23,4002
1,Vestir,,4,Comerç al detall,1,4003000,Equipament personal,Actiu,24,4003
1,Informàtica,"ordenadors i software, mòbils",5,Comerç al detall,1,5000000,Oci i cultura,Actiu,25,5000
1,Joguines i esports,,5,Comerç al detall,1,5001000,Oci i cultura,Actiu,26,5001
1,"Llibres, diaris i revistes",,5,Comerç al detall,1,5003000,Oci i cultura,Actiu,27,5003
1,Música,,5,Comerç al detall,1,5004000,Oci i cultura,Actiu,28,5004
1,Vehicles,Vehicles i accessoris,6,Comerç al detall,1,6000000,Automoció,Actiu,29,6000
1,Grans magatzems i hipermercats,Inclou Corte Inglés,7,Comerç al detall,1,7000000,Altres,Actiu,30,7000
1,Maquinària,,7,Comerç al detall,1,7001000,Altres,Actiu,31,7001
1,"Segells, monedes i antiguitats",,3,Comerç al detall,1,3005000,Parament de la llar,Actiu,32,3005
1,Òptiques i fotografia,,7,Comerç al detall,1,7003000,Altres,Actiu,33,7003
1,Òptiques ,,7,Comerç al detall,1,7003010,Altres,Actiu,34,700301
1,Fotografia,,7,Comerç al detall,1,7003020,Altres,Actiu,35,700302
1,Souvenirs i basars,,7,Comerç al detall,1,7004000,Altres,Actiu,36,7004
1,Souvenirs,Productes enfocats a turisme,7,Comerç al detall,1,7004010,Altres,Actiu,37,700401
1,Basars,Tota la resta,7,Comerç al detall,1,7004020,Altres,Actiu,38,700402
1,Altres,,7,Comerç al detall /Engròs,1,7005000,Altres,Actiu,39,7005
2,Activitats immobiliàries,"Compravendes, lloguers, agents de la propietat",8,Serveis,1,8000000,Activitats immobiliàries,Actiu,40,8000
2,Ensenyament,mirar annex,9,Serveis,1,9000000,Ensenyament,Actiu,41,9000
2,Finances i assegurances,inclou transferències de diners,11,Serveis,1,1100000,Finances i assegurances,Actiu,42,11000
2,"Manteniment, neteja i similars","Activitats jardineria, neteja, sanejament...",12,Serveis,1,1200000,"Manteniment, neteja i producció",Actiu,43,12000
2,Reparacions (Electrodomèstics i automòbils),Inclou reparacions vehicles de mobilitat personal,13,Serveis,1,1300000,Reparacions (Electrodomèstics i automòbils),Actiu,44,13000
2,serveis de menjar i begudes,,14,Serveis,1,1400000,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",Actiu,45,14000
2,Equipaments culturals i recreatius,mirar annex,10,Serveis,1,1111111,Equipaments culturals i recreatius,Actiu,46,10000
4,Ús Habitatge,,0,Ús Habitatge,0,44,Grup no definit,Sense activitat Econòmica,47,*0000044
5,En reforma,canvi de negoci / cal classificar-lo si anuncia l'activitat,0,En reforma,0,50,Grup no definit,Sense activitat Econòmica,48,*0000050
4,Sense informació - Havia tingut activitat (rètol),,0,Sense informació - Havia tingut activitat (rètol),0,42,Grup no definit,Sense activitat Econòmica,49,*0000042
4,Sense informació,,0,Sense informació,0,41,Grup no definit,Sense activitat Econòmica,50,*0000041
3,Locals buits en venda i lloguer,,0,Locals buits en venda i lloguer,0,30,Grup no definit,Sense activitat Econòmica,51,*0000030
2,Locals buits en lloguer,,0,Locals buits en lloguer,0,20,Grup no definit,Sense activitat Econòmica,52,*0000020
1,Locals buits en venda,,0,Locals buits en venda,0,10,Grup no definit,Sense activitat Econòmica,53,*0000010
2,Bars   / CIBERCAFÈ,"Preval la classificació del 2016, en segona instància rètol, diferent de restaurant és bar",14,Serveis,1,1400001,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",Actiu,54,1400001
2,Restaurants,"Preval la classificació del 2016, en segona instància rètol, si posa restaurant, és restaurant",14,Serveis,1,1400002,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",Actiu,55,1400002
