Assistents_fora_de_Barcelona,Edicio,Titularitat,DataInici,DataFi,Assistents_a_Barcelona,Notes_Dades,Espai,Ambit,NomDelFestival,Organitzador,_id,Any,Tipus,Assistents,Nota
,30,Titularitat privada,2023-02-01T00:00:00,2023-10-11T00:00:00,,,Diversos espais de la ciutat,Audiovisuals,SUNCINE. Festival internacional de cine del medio ambiente,ACCIONS 3E,1,2023,Festivals,,
,7,Titularitat privada,2023-03-01T00:00:00,2023-11-19T00:00:00,,,Diversos espais de la ciutat,Arts escèniques,RBLS Festival Teatre Jove ,Assoc. LONESTAR CULTURA,2,2023,Festivals,,
,2,Titularitat privada,2023-07-01T00:00:00,2023-02-25T00:00:00,,,Diversos espais de la ciutat,Música,Festival Empremtes,La Última Milla Producciones,3,2023,Festivals,,
,36,Titularitat privada,2023-01-13T00:00:00,2023-03-31T00:00:00,12163,,Diversos espais de la ciutat,Música,Festival Folk Internacional Tradicionàrius,Assoc. Cultural per la Tradició Musical TRAM,4,2023,Festivals,,
,20,Ajuntament de Barcelona,2023-01-13T00:00:00,2023-05-05T00:00:00,551,,SAT! Sant Andreu Teatre,Arts escèniques,Fica't al SAT!,N54 Produccions,5,2023,Festivals,,
,11,Titularitat privada,2023-01-19T00:00:00,2023-01-21T00:00:00,600,,Diversos espais de la ciutat,Audiovisuals,La mida no importa. Festival Internacional de Curtmetratges al Raval,Ass. SLOWCUrT i Casal del barri del Raval,6,2023,Festivals,,
,28,Titularitat privada,2023-01-21T00:00:00,2023-02-25T00:00:00,660,,Sala Heliogàbal i Casinet d¿Hostafrancs,Música,Minifestival de Música i Cultura Independent de Barcelona,Assoc. Minifestival de Música Independent,7,2023,Festivals,,
4890,28,Titularitat privada,2023-01-27T00:00:00,2023-10-21T00:00:00,7254,,Diversos espais de la ciutat,Música,BarnaSants,Assoc. República de la Cultura,8,2023,Festivals,,
,6,Titularitat privada,2023-01-27T00:00:00,2023-05-02T00:00:00,,,Diversos espais de la ciutat,Arts escèniques,Festival Oui! de Théâtre en français,Equinox,9,2023,Festivals,,
,34,Titularitat privada,2023-01-27T00:00:00,2023-07-26T00:00:00,61261,,Diversos espais de la ciutat,Música,Guitar Bcn,The Project Music Company,10,2023,Festivals,,
