Latitud,Titularitat,Codi_Districte,Tipus_Us,Notes_Equipament,Nom_Districte,Notes_Dades,Nom_Barri,Indicador,Tipus_Equipament,Nom_Equipament,Valor,Codi_Barri,Ambit,_id,Any,Longitud,TipusGeneral,TipusEquipament,Equipament
41.386872640,Ajuntament de Barcelona,1,Centres d'exposicions,,Ciutat Vella,,"Sant Pere, Santa Caterina i la Ribera",Num_Exposicions_Temporals,Arxius i biblioteques patrimonials,Arxiu Fotogràfic de Barcelona,3,4,Història i memòria,1,2023,2.181806284,,,
41.386872640,Ajuntament de Barcelona,1,Centres d'exposicions,,Ciutat Vella,,"Sant Pere, Santa Caterina i la Ribera",Visitants,Arxius i biblioteques patrimonials,Arxiu Fotogràfic de Barcelona,15018,4,Història i memòria,2,2023,2.181806284,,,
41.386872640,Ajuntament de Barcelona,1,Centres d'exposicions,,Ciutat Vella,,"Sant Pere, Santa Caterina i la Ribera",Visites_Exposicions_Temporals,Arxius i biblioteques patrimonials,Arxiu Fotogràfic de Barcelona,15018,4,Història i memòria,3,2023,2.181806284,,,
41.403188985,Titularitat privada,2,Centres patrimonials,,Eixample,,la Sagrada Família,Visitants,Espais d'interès patrimonial,Basílica de la Sagrada Família,4707367,6,Història i memòria,4,2023,2.174826626,,,
41.371294526,Titularitat privada,3,Centres d'exposicions,,Sants-Montjuïc,,la Font de la Guatlla,Num_Exposicions_Temporals,Centres d'exposicions,CaixaForum,12,14,Arts visuals,5,2023,2.149575441,,,
41.371294526,Titularitat privada,3,Centres d'exposicions,,Sants-Montjuïc,,la Font de la Guatlla,Visitants,Centres d'exposicions,CaixaForum,483852,14,Arts visuals,6,2023,2.149575441,,,
41.371294526,Titularitat privada,3,Centres d'exposicions,,Sants-Montjuïc,,la Font de la Guatlla,Visites_Exposicions_Temporals,Centres d'exposicions,CaixaForum,449342,14,Arts visuals,7,2023,2.149575441,,,
41.402912812,Titularitat privada,10,Centres patrimonials,,Sant Martí,,el Parc i la Llacuna del Poblenou,Num_Exposicions_Temporals,Museus i col·leccions,Can Framis. Fundació Vila Casas,4,66,Arts visuals,8,2023,2.194947848,,,
41.402912812,Titularitat privada,10,Centres patrimonials,,Sant Martí,,el Parc i la Llacuna del Poblenou,Visitants,Museus i col·leccions,Can Framis. Fundació Vila Casas,18379,66,Arts visuals,9,2023,2.194947848,,,
41.402912812,Titularitat privada,10,Centres patrimonials,,Sant Martí,,el Parc i la Llacuna del Poblenou,Visites_Exposicions_Temporals,Museus i col·leccions,Can Framis. Fundació Vila Casas,13358,66,Arts visuals,10,2023,2.194947848,,,
