Te_Subseus,Entitat,Titularitat,Tipus_Equipament,Id_Seu_Principal,Es_subseu_de,Notes_Equipament,Nom_Districte,Id_Equipament,Es_seu_principal,Nom_Barri,Codi_Districte,Nom_Equipament,Codi_Barri,Latitud,_id,Longitud
NO,Alberto Pons Carrera,Titularitat privada,Sales de música en viu,,,,Ciutat Vella,453,1,el Raval,1,23Robadors ,1,41.3788539,1,2.163502
NO,Agrupació Congrés,Titularitat privada,Ateneus,,,,Sant Andreu,408,1,el Congrés i els Indians,9,Agrupació Congrés,62,41.424768,2,2.180450
NO,Confederació Sardanista de Catalunya,Titularitat privada,Ateneus,,,,Ciutat Vella,478,1,"Sant Pere, Santa Caterina i la Ribera",1,Agrupació Cultural Folklòrica Barcelona,4,41.3877756552004,3,2.179969802282483
NO,Grup Almodobar,Titularitat privada,Sales de música en viu,,,,Gràcia,394,1,la Vila de Gràcia,6,Almo2bar,31,41.4056165,4,2.1621234
NO,Grup Almodobar,Titularitat privada,Sales de música en viu,,,,Gràcia,393,1,la Vila de Gràcia,6,Almodobar,31,41.4034215,5,2.1677698
NO,Ajuntament de Barcelona,Ajuntament de Barcelona,Arxius de districte,,,,Horta-Guinardó,332,1,el Baix Guinardó,7,AMDB. Arxiu Municipal Districte d'Horta-Guinardó,33,41.409960057,6,2.169191469
NO,Ajuntament de Barcelona,Ajuntament de Barcelona,Arxius de districte,,,,Ciutat Vella,323,1,el Raval,1,AMDB. Arxiu Municipal Districte de Ciutat Vella,1,41.382300324,7,2.168061867
NO,Ajuntament de Barcelona,Ajuntament de Barcelona,Arxius de districte,,,,Gràcia,324,1,Vallcarca i els Penitents,6,AMDB. Arxiu Municipal Districte de Gràcia,28,41.407459816,8,2.149757391
NO,Ajuntament de Barcelona,Ajuntament de Barcelona,Arxius de districte,,,,Eixample,325,1,Sant Antoni,2,AMDB. Arxiu Municipal Districte de l'Eixample,10,41.376643701,9,2.159247358
NO,Ajuntament de Barcelona,Ajuntament de Barcelona,Arxius de districte,,,,Les Corts,326,1,les Corts,4,AMDB. Arxiu Municipal Districte de les Corts,19,41.385612855,10,2.129754111
