Codi_Districte,Nom_Districte,Nom_Barri,Codi_Barri,_id,Superfície (ha),Any
1,Ciutat Vella,el Raval,1,1,110.0,2021
1,Ciutat Vella,el Barri Gòtic,2,2,81.6,2021
1,Ciutat Vella,la Barceloneta,3,3,117.9,2021
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,4,111.0,2021
2,Eixample,el Fort Pienc,5,5,92.9,2021
2,Eixample,la Sagrada Família,6,6,104.2,2021
2,Eixample,la Dreta de l'Eixample,7,7,212.0,2021
2,Eixample,l'Antiga Esquerra de l'Eixample,8,8,122.8,2021
2,Eixample,la Nova Esquerra de l'Eixample,9,9,134.1,2021
2,Eixample,Sant Antoni,10,10,80.4,2021
3,Sants-Montjuïc,el Poble Sec,11,11,458.5,2021
3,Sants-Montjuïc,la Marina del Prat Vermell,12,12,1423.7,2021
3,Sants-Montjuïc,la Marina de Port,13,13,126.9,2021
3,Sants-Montjuïc,la Font de la Guatlla,14,14,29.7,2021
3,Sants-Montjuïc,Hostafrancs,15,15,41.0,2021
3,Sants-Montjuïc,la Bordeta,16,16,57.2,2021
3,Sants-Montjuïc,Sants - Badal,17,17,41.5,2021
3,Sants-Montjuïc,Sants,18,18,109.5,2021
4,Les Corts,les Corts,19,19,141.0,2021
4,Les Corts,la Maternitat i Sant Ramon,20,20,191.5,2021
4,Les Corts,Pedralbes,21,21,268.5,2021
5,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,22,1132.9,2021
5,Sarrià-Sant Gervasi,Sarrià,23,23,304.7,2021
5,Sarrià-Sant Gervasi,les Tres Torres,24,24,78.8,2021
5,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,25,223.4,2021
5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,26,166.9,2021
5,Sarrià-Sant Gervasi,el Putxet i el Farró,27,27,84.8,2021
6,Gràcia,Vallcarca i els Penitents,28,28,125.1,2021
6,Gràcia,el Coll,29,29,35.3,2021
6,Gràcia,la Salut,30,30,64.8,2021
6,Gràcia,la Vila de Gràcia,31,31,132.1,2021
6,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,32,65.1,2021
7,Horta-Guinardó,el Baix Guinardó,33,33,56.2,2021
7,Horta-Guinardó,Can Baró,34,34,38.4,2021
7,Horta-Guinardó,el Guinardó,35,35,130.9,2021
7,Horta-Guinardó,la Font d'en Fargues,36,36,65.7,2021
7,Horta-Guinardó,el Carmel,37,37,94.0,2021
7,Horta-Guinardó,la Teixonera,38,38,33.8,2021
7,Horta-Guinardó,Sant Genís dels Agudells,39,39,168.1,2021
7,Horta-Guinardó,Montbau,40,40,205.5,2021
7,Horta-Guinardó,la Vall d'Hebron,41,41,74.5,2021
7,Horta-Guinardó,la Clota,42,42,17.8,2021
7,Horta-Guinardó,Horta,43,43,307.0,2021
8,Nou Barris,Vilapicina i la Torre Llobeta,44,44,56.4,2021
8,Nou Barris,Porta,45,45,83.7,2021
8,Nou Barris,el Turó de la Peira,46,46,35.4,2021
8,Nou Barris,Can Peguera,47,47,11.9,2021
8,Nou Barris,la Guineueta,48,48,61.2,2021
8,Nou Barris,Canyelles,49,49,79.0,2021
8,Nou Barris,les Roquetes,50,50,64.3,2021
8,Nou Barris,Verdun,51,51,23.7,2021
8,Nou Barris,la Prosperitat,52,52,59.1,2021
8,Nou Barris,la Trinitat Nova,53,53,57.7,2021
8,Nou Barris,Torre Baró,54,54,174.2,2021
8,Nou Barris,Ciutat Meridiana,55,55,37.7,2021
8,Nou Barris,Vallbona,56,56,61.4,2021
9,Sant Andreu,la Trinitat Vella,57,57,80.8,2021
9,Sant Andreu,Baró de Viver,58,58,23.0,2021
9,Sant Andreu,el Bon Pastor,59,59,186.8,2021
9,Sant Andreu,Sant Andreu,60,60,186.7,2021
9,Sant Andreu,la Sagrera,61,61,98.6,2021
9,Sant Andreu,el Congrés i els Indians,62,62,40.9,2021
9,Sant Andreu,Navas,63,63,42.4,2021
10,Sant Martí,el Camp de l'Arpa del Clot,64,64,74.1,2021
10,Sant Martí,el Clot,65,65,69.7,2021
10,Sant Martí,el Parc i la Llacuna del Poblenou,66,66,112.2,2021
10,Sant Martí,la Vila Olímpica del Poblenou,67,67,92.5,2021
10,Sant Martí,el Poblenou,68,68,156.7,2021
10,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,69,122.7,2021
10,Sant Martí,el Besòs i el Maresme,70,70,120.9,2021
10,Sant Martí,Provençals del Poblenou,71,71,108.6,2021
10,Sant Martí,Sant Martí de Provençals,72,72,73.4,2021
10,Sant Martí,la Verneda i la Pau,73,73,113.0,2021
1,Ciutat Vella,el Raval,1,1,110.0,2020
1,Ciutat Vella,el Barri Gòtic,2,2,81.6,2020
1,Ciutat Vella,la Barceloneta,3,3,117.9,2020
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,4,111.0,2020
2,Eixample,el Fort Pienc,5,5,92.9,2020
2,Eixample,la Sagrada Família,6,6,104.2,2020
2,Eixample,la Dreta de l'Eixample,7,7,212.0,2020
2,Eixample,l'Antiga Esquerra de l'Eixample,8,8,122.8,2020
2,Eixample,la Nova Esquerra de l'Eixample,9,9,134.1,2020
2,Eixample,Sant Antoni,10,10,80.4,2020
3,Sants-Montjuïc,el Poble Sec,11,11,458.5,2020
3,Sants-Montjuïc,la Marina del Prat Vermell,12,12,1423.7,2020
3,Sants-Montjuïc,la Marina de Port,13,13,126.9,2020
3,Sants-Montjuïc,la Font de la Guatlla,14,14,29.7,2020
3,Sants-Montjuïc,Hostafrancs,15,15,41.0,2020
3,Sants-Montjuïc,la Bordeta,16,16,57.2,2020
3,Sants-Montjuïc,Sants - Badal,17,17,41.5,2020
3,Sants-Montjuïc,Sants,18,18,109.5,2020
4,Les Corts,les Corts,19,19,141.0,2020
4,Les Corts,la Maternitat i Sant Ramon,20,20,191.5,2020
4,Les Corts,Pedralbes,21,21,268.5,2020
5,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,22,1132.9,2020
5,Sarrià-Sant Gervasi,Sarrià,23,23,304.7,2020
5,Sarrià-Sant Gervasi,les Tres Torres,24,24,78.8,2020
5,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,25,223.4,2020
5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,26,166.9,2020
5,Sarrià-Sant Gervasi,el Putxet i el Farró,27,27,84.8,2020
6,Gràcia,Vallcarca i els Penitents,28,28,125.1,2020
6,Gràcia,el Coll,29,29,35.3,2020
6,Gràcia,la Salut,30,30,64.8,2020
6,Gràcia,la Vila de Gràcia,31,31,132.1,2020
6,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,32,65.1,2020
7,Horta-Guinardó,el Baix Guinardó,33,33,56.2,2020
7,Horta-Guinardó,Can Baró,34,34,38.4,2020
7,Horta-Guinardó,el Guinardó,35,35,130.9,2020
7,Horta-Guinardó,la Font d'en Fargues,36,36,65.7,2020
7,Horta-Guinardó,el Carmel,37,37,94.0,2020
7,Horta-Guinardó,la Teixonera,38,38,33.8,2020
7,Horta-Guinardó,Sant Genís dels Agudells,39,39,168.1,2020
7,Horta-Guinardó,Montbau,40,40,205.5,2020
7,Horta-Guinardó,la Vall d'Hebron,41,41,74.5,2020
7,Horta-Guinardó,la Clota,42,42,17.8,2020
7,Horta-Guinardó,Horta,43,43,307.0,2020
8,Nou Barris,Vilapicina i la Torre Llobeta,44,44,56.4,2020
8,Nou Barris,Porta,45,45,83.7,2020
8,Nou Barris,el Turó de la Peira,46,46,35.4,2020
8,Nou Barris,Can Peguera,47,47,11.9,2020
8,Nou Barris,la Guineueta,48,48,61.2,2020
8,Nou Barris,Canyelles,49,49,79.0,2020
8,Nou Barris,les Roquetes,50,50,64.3,2020
8,Nou Barris,Verdun,51,51,23.7,2020
8,Nou Barris,la Prosperitat,52,52,59.1,2020
8,Nou Barris,la Trinitat Nova,53,53,57.7,2020
8,Nou Barris,Torre Baró,54,54,174.2,2020
8,Nou Barris,Ciutat Meridiana,55,55,37.7,2020
8,Nou Barris,Vallbona,56,56,61.4,2020
9,Sant Andreu,la Trinitat Vella,57,57,80.8,2020
9,Sant Andreu,Baró de Viver,58,58,23.0,2020
9,Sant Andreu,el Bon Pastor,59,59,186.8,2020
9,Sant Andreu,Sant Andreu,60,60,186.7,2020
9,Sant Andreu,la Sagrera,61,61,98.6,2020
9,Sant Andreu,el Congrés i els Indians,62,62,40.9,2020
9,Sant Andreu,Navas,63,63,42.4,2020
