Latitud,Codi_Districte,Data_Instalacio,Font,Id_Instal,Nom_Districte,Codi_Carrer,Nom_Barri,ETRS89_Y,Data_DesInstalacio,Nom_Carrer,Num_Carrer,Codi_Barri,ETRS89_X,_id,Longitud,Tipus_Via
41.395450,5,2014-01-29T00:00:00,OCI,186,Sarrià-Sant Gervasi,348408,Galvany,4583003.592,2015-01-16T00:00:00,Tuset,8,26,429172.441,1,2.152753,C
41.396156,5,2014-01-29T00:00:00,OCI,187,Sarrià-Sant Gervasi,348408,Galvany,4583082.946,2015-01-16T00:00:00,Tuset,17,26,429073.823,2,2.151564,C
41.380127,1,2014-05-02T00:00:00,OCI,206,Ciutat Vella,112208,el Barri Gòtic,4581283.000,2015-01-30T00:00:00,Escudellers,53,2,431177.000,3,2.176924,C
41.378273,1,2014-05-02T00:00:00,OCI,207,Ciutat Vella,86902,el Raval,4581080.000,2015-01-30T00:00:00,Nou de la Rambla,21,1,430876.000,4,2.173348,C
41.384925,1,2014-05-02T00:00:00,OCI,208,Ciutat Vella,46409,"Sant Pere, Santa Caterina i la Ribera",4581811.000,2015-01-30T00:00:00,Born,19,4,431671.000,5,2.182772,Pg
41.376198,3,2014-06-23T00:00:00,OCI,246,Sants-Montjuïc,158901,Sants,4580878.000,2015-01-27T00:00:00,Osca,2,18,427962.000,6,2.138527,Pl
41.400261,5,2014-01-23T00:00:00,OCI,267,Sarrià-Sant Gervasi,179708,Galvany,4583539.700,2015-01-20T00:00:00,Lincoln,10,26,428978.600,7,2.150371,C
41.378242,1,2014-04-23T00:00:00,OCI,268,Ciutat Vella,21306,el Raval,4581075.134,2015-01-29T00:00:00,Arc del Teatre,5,1,431023.452,8,2.175112,C
41.372210,3,2015-01-27T00:00:00,TRÀNSIT,326,Sants-Montjuïc,17706,Sants,4580440.516,2015-05-19T00:00:00,Antoni de Capmany,41,18,427436.084,9,2.132291,C
41.395450,5,2015-01-29T00:00:00,OCI,346,Sarrià-Sant Gervasi,348408,Galvany,4583003.592,2016-10-02T00:00:00,Tuset,8,26,429172.441,10,2.152753,C
41.396156,5,2015-01-29T00:00:00,OCI,347,Sarrià-Sant Gervasi,348408,Galvany,4583082.946,2016-10-02T00:00:00,Tuset,17,26,429073.823,11,2.151564,C
41.379396,1,2015-04-02T00:00:00,OCI,366,Ciutat Vella,284804,el Raval,4581206.666,2015-06-10T00:00:00,Robador,31,1,430673.242,12,2.170909,C
41.377376,1,2015-03-13T00:00:00,OCI,389,Ciutat Vella,220200,el Raval,4580979.410,2015-10-26T00:00:00,Montserrat,4,1,430984.521,13,2.174657,C
41.378242,1,2015-12-03T00:00:00,OCI,390,Ciutat Vella,21306,el Raval,4581075.134,2015-10-11T00:00:00,Arc del Teatre,5,1,431023.452,14,2.175112,C
41.402959,5,2015-03-13T00:00:00,TRÀNSIT,391,Sarrià-Sant Gervasi,223606,la Bonanova,4583849.558,2015-06-18T00:00:00,Muntaner,488,25,427933.645,15,2.137835,C
41.397772,6,2014-12-19T00:00:00,TRÀNSIT,406,Gràcia,148307,la Vila de Gràcia,4583256.978,2016-06-17T00:00:00,Gràcia,124,31,429623.234,16,2.158115,Pg
41.376104,3,2015-04-06T00:00:00,OCI,426,Sants-Montjuïc,158901,Sants,4580867.570,2015-07-29T00:00:00,Osca,10,18,427960.147,17,2.138507,Pl
41.450047,9,2015-05-13T00:00:00,TRÀNSIT,428,Sant Andreu,281409,la Trinitat Vella,4589035.544,2015-09-09T00:00:00,Ribes,85,57,432300.276,18,2.189489,Ctra
41.397383,10,2015-06-17T00:00:00,OCI,446,Sant Martí,11200,el Parc i la Llacuna del Poblenou,4583188.274,2015-06-10T00:00:00,Almogàvers,120,66,432306.225,19,2.190215,C
41.396785,10,2015-06-17T00:00:00,OCI,447,Sant Martí,249304,el Parc i la Llacuna del Poblenou,4583119.782,2016-06-14T00:00:00,Pere IV,72,66,432529.511,20,2.192893,C
41.382044,4,2015-06-18T00:00:00,TRÀNSIT,466,Les Corts,66508,les Corts,4581535.406,2016-10-02T00:00:00,Carles III,38,19,427130.103,21,2.128501,G.V.
41.401519,6,2015-12-02T00:00:00,OCI,486,Gràcia,326904,la Vila de Gràcia,4583674.030,2016-12-16T00:00:00,Sol,2,31,429521.701,22,2.156852,Pl
41.396968,6,2015-01-01T00:00:00,TRÀNSIT,487,Gràcia,148307,la Vila de Gràcia,4583167.165,2016-06-17T00:00:00,Gràcia,111,31,429679.400,23,2.158797,Pg
41.394328,2,2015-01-01T00:00:00,TRÀNSIT,488,L'Eixample,148307,la Dreta de l'Eixample,4582871.451,2016-06-29T00:00:00,Gràcia,81,7,429950.045,24,2.162069,Pg
41.392571,2,2015-01-01T00:00:00,TRÀNSIT,489,L'Eixample,148307,la Dreta de l'Eixample,4582674.660,2016-06-17T00:00:00,Gràcia,51,7,430130.284,25,2.164247,Pg
41.390799,2,2015-01-01T00:00:00,TRÀNSIT,490,L'Eixample,148307,la Dreta de l'Eixample,4582476.112,2016-06-17T00:00:00,Gràcia,27,7,430311.695,26,2.166440,Pg
41.389653,2,2015-01-01T00:00:00,TRÀNSIT,491,L'Eixample,148307,la Dreta de l'Eixample,4582347.780,2016-06-17T00:00:00,Gràcia,13,7,430429.031,27,2.167858,Pg
41.375415,2,2015-11-03T00:00:00,TRÀNSIT,492,L'Eixample,329902,Sant Antoni,4580776.359,2016-10-18T00:00:00,Tamarit,89,10,429457.687,28,2.156424,C
41.374891,3,2015-11-03T00:00:00,TRÀNSIT,493,Sants-Montjuïc,198804,el Poble Sec,4580718.234,2017-01-24T00:00:00,Paral·lel,167,11,429453.316,29,2.156378,Av
41.375392,2,2015-11-03T00:00:00,TRÀNSIT,494,L'Eixample,192502,Sant Antoni,4580771.979,2016-10-18T00:00:00,Manso,1,10,429646.454,30,2.158681,C
41.374886,3,2015-11-03T00:00:00,TRÀNSIT,495,Sants-Montjuïc,198804,el Poble Sec,4580715.896,2022-05-13T00:00:00,Paral·lel,139,11,429636.151,31,2.158565,Av
41.374878,3,2015-11-03T00:00:00,TRÀNSIT,496,Sants-Montjuïc,198804,el Poble Sec,4580712.564,,Paral·lel,115,11,429888.694,32,2.161585,Av
41.374850,3,2015-11-03T00:00:00,TRÀNSIT,497,Sants-Montjuïc,198804,el Poble Sec,4580705.233,,Paral·lel,81,11,430322.548,33,2.166773,Av
41.381147,4,2015-04-13T00:00:00,SUPERILLA,509,Les Corts,66508,la Maternitat i Sant Ramon,4581435.937,2016-10-22T00:00:00,Carles III,41,20,427119.246,34,2.128383,G.V.
41.379162,4,2015-04-13T00:00:00,SUPERILLA,510,Les Corts,343903,la Maternitat i Sant Ramon,4581219.950,2016-10-22T00:00:00,Corts,44,20,426675.186,35,2.123099,Trav
41.377164,4,2015-04-13T00:00:00,SUPERILLA,511,Les Corts,282252,la Maternitat i Sant Ramon,4580999.205,2016-10-22T00:00:00,Blanca,7,20,426567.013,36,2.121833,Rier
41.376114,4,2015-01-04T00:00:00,SUPERILLA,512,Les Corts,187207,la Maternitat i Sant Ramon,4580881.452,2016-10-22T00:00:00,Madrid,7,20,426687.828,37,2.123291,Av
41.377848,4,2015-04-13T00:00:00,SUPERILLA,513,Les Corts,187207,la Maternitat i Sant Ramon,4581071.508,2016-10-22T00:00:00,Madrid,61,20,426930.200,38,2.126167,Av
41.379878,4,2015-04-13T00:00:00,SUPERILLA,514,Les Corts,166513,la Maternitat i Sant Ramon,4581297.386,2016-10-22T00:00:00,Bacardí,s/n,20,426881.176,39,2.125553,Jard
41.377923,4,2015-04-13T00:00:00,SUPERILLA,515,Les Corts,23800,la Maternitat i Sant Ramon,4581081.616,2016-10-22T00:00:00,Arizala,52,20,426759.121,40,2.124120,C
41.377774,4,2015-04-13T00:00:00,SUPERILLA,516,Les Corts,87100,la Maternitat i Sant Ramon,4581066.356,2016-10-22T00:00:00,Comte de Güell,36,20,426625.503,41,2.122524,C
41.379721,4,2015-04-13T00:00:00,SUPERILLA,517,Les Corts,84703,la Maternitat i Sant Ramon,4581278.660,2016-10-22T00:00:00,Comandant Benítez,8,20,427017.714,42,2.127188,C
41.384925,1,2015-03-07T00:00:00,OCI,526,Ciutat Vella,46409,"Sant Pere, Santa Caterina i la Ribera",4581811.000,2016-05-24T00:00:00,Born,19,4,431671.000,43,2.182772,Pg
41.366511,3,2015-06-07T00:00:00,OCI,527,Sants-Montjuïc,701335,el Poble Sec,4579779.620,2015-12-16T00:00:00,Tarongers,s/n,11,430298.108,44,2.166587,C
41.378273,1,2015-06-07T00:00:00,OCI,546,Ciutat Vella,86902,el Raval,4581080.000,2016-10-02T00:00:00,Nou de la Rambla,21,1,430876.000,45,2.173348,C
41.404603,10,2015-09-09T00:00:00,TRÀNSIT,586,Sant Martí,700892,Diagonal Mar i el Front Marítim del Poblenou,4583970.664,2016-02-16T00:00:00,Garcia Fària,75,69,434394.613,46,2.215110,Pg
41.435972,8,2015-07-10T00:00:00,TRÀNSIT,606,Nou Barris,356905,Porta,4587486.286,2016-03-18T00:00:00,Verdum,8,45,430876.274,47,2.172620,Pg
41.403920,10,2015-07-10T00:00:00,TRÀNSIT,607,Sant Martí,249304,el Poblenou,4583907.472,2015-12-19T00:00:00,Pere IV,185,68,433010.879,48,2.198564,C
41.383754,1,2015-06-10T00:00:00,TRÀNSIT,626,Ciutat Vella,177101,"Sant Pere, Santa Caterina i la Ribera",4581683.922,2015-10-11T00:00:00,Laietana,18,4,431365.436,49,2.179132,Via
41.396109,5,2015-04-21T00:00:00,TRÀNSIT,647,Sarrià-Sant Gervasi,32700,Galvany,4583075.952,2016-10-18T00:00:00,Balmes,173,26,429261.336,50,2.153807,C
41.398930,5,2015-07-28T00:00:00,TRÀNSIT,648,Sarrià-Sant Gervasi,32700,Galvany,4583391.477,2016-10-18T00:00:00,Balmes,232,26,429021.324,51,2.150900,C
41.396206,6,2015-04-21T00:00:00,TRÀNSIT,650,Gràcia,144601,la Vila de Gràcia,4583083.391,2017-06-02T00:00:00,Diagonal,454,31,429601.311,52,2.157873,Av
41.394676,2,2015-04-21T00:00:00,TRÀNSIT,651,L'Eixample,110304,l'Antiga Esquerra de l'Eixample,4582917.345,,Enric Granados,159,8,429208.267,53,2.153191,C
41.393994,5,2015-04-21T00:00:00,TRÀNSIT,652,Sarrià-Sant Gervasi,144601,Galvany,4582844.932,2017-06-02T00:00:00,Diagonal,570,26,428868.933,54,2.149141,Av
41.393036,5,2015-04-21T00:00:00,TRÀNSIT,653,Sarrià-Sant Gervasi,144601,Galvany,4582741.628,2018-03-20T00:00:00,Diagonal,600,26,428550.794,55,2.145348,Av
41.395867,2,2015-04-21T00:00:00,TRÀNSIT,654,L'Eixample,305100,la Dreta de l'Eixample,4583032.698,2016-06-17T00:00:00,Sant Joan,39,7,430957.671,56,2.174102,Pg
41.396355,2,2015-04-21T00:00:00,TRÀNSIT,655,L'Eixample,305100,la Dreta de l'Eixample,4583087.076,2016-06-29T00:00:00,Sant Joan,60,7,430929.894,57,2.173764,Pg
41.397398,2,2015-04-21T00:00:00,TRÀNSIT,656,L'Eixample,305100,la Dreta de l'Eixample,4583204.012,2016-06-29T00:00:00,Sant Joan,82,7,430815.407,58,2.172381,Pg
41.398882,2,2015-04-21T00:00:00,TRÀNSIT,657,L'Eixample,305100,la Dreta de l'Eixample,4583370.537,2016-06-16T00:00:00,Sant Joan,97,7,430627.176,59,2.170110,Pg
41.403978,6,2015-10-30T00:00:00,OCI,658,Gràcia,236700,la Vila de Gràcia,4583947.753,2016-12-16T00:00:00,Or,10,31,429454.426,60,2.156015,C
41.430430,7,2015-10-30T00:00:00,OCI,659,Horta-Guinardó,159507,Horta,4586880.301,,Eivissa,21,43,429899.213,61,2.160996,Pl
41.414817,10,2015-09-11T00:00:00,TRÀNSIT,666,Sant Martí,322608,Sant Martí de Provençals,4585115.217,,Selva de Mar,170,72,433247.275,62,2.201259,C
41.382336,1,2016-12-04T00:00:00,OCI,927,Ciutat Vella,167709,el Raval,4581537.016,2016-11-28T00:00:00,Joaquín Costa,33,1,430262.387,79,2.165958,C
41.416959,10,2015-09-11T00:00:00,TRÀNSIT,667,Sant Martí,322608,Sant Martí de Provençals,4585355.037,2021-12-13T00:00:00,Selva de Mar,208,72,433028.275,63,2.198612,C
41.394316,2,2015-11-16T00:00:00,TRÀNSIT,669,L'Eixample,335100,la Dreta de l'Eixample,4582859.073,2016-06-17T00:00:00,Tetuan,4,7,431105.539,64,2.175891,Pl
41.392678,2,2015-11-16T00:00:00,TRÀNSIT,670,L'Eixample,305100,la Dreta de l'Eixample,4582675.321,2016-06-17T00:00:00,Sant Joan,15,7,431306.843,65,2.178319,Pg
41.393295,2,2015-11-16T00:00:00,TRÀNSIT,671,L'Eixample,305100,el Fort Pienc,4582744.133,2016-06-17T00:00:00,Sant Joan,34,5,431265.454,66,2.177816,Pg
41.413401,10,2015-12-28T00:00:00,TRÀNSIT,686,Sant Martí,209900,el Camp de l'Arpa del Clot,4584969.637,2022-12-04T00:00:00,Meridiana,181,64,431988.827,67,2.186218,Av
41.398089,2,2016-01-26T00:00:00,OCI,707,L'Eixample,197302,el Fort Pienc,4583273.454,2016-08-11T00:00:00,Marina,155,5,431580.607,68,2.181526,C
41.382040,4,2016-01-28T00:00:00,TRÀNSIT,726,Les Corts,76308,les Corts,4581528.776,,Centre,11,19,427750.458,69,2.135920,Pl
41.403409,5,2016-01-28T00:00:00,TRÀNSIT,727,Sarrià-Sant Gervasi,143904,la Bonanova,4583898.894,2022-03-21T00:00:00,General Mitre,149,25,427994.195,70,2.138553,Rda
41.402451,5,2016-01-28T00:00:00,TRÀNSIT,728,Sarrià-Sant Gervasi,143904,la Bonanova,4583793.539,,General Mitre,137,25,427896.148,71,2.137393,Rda
41.397383,10,2015-12-19T00:00:00,OCI,786,Sant Martí,11200,el Parc i la Llacuna del Poblenou,4583188.274,2016-06-14T00:00:00,Almogàvers,120,66,432306.225,72,2.190215,C
41.446353,9,2016-02-18T00:00:00,TRÀNSIT,806,Sant Andreu,273003,Baró de Viver,4588616.566,2022-06-05T00:00:00,Quito,14,58,433252.421,73,2.200934,C
41.379396,1,2016-11-03T00:00:00,OCI,826,Ciutat Vella,284804,el Raval,4581206.666,2016-11-17T00:00:00,Robador,31,1,430673.242,74,2.170909,C
41.378242,1,2016-11-03T00:00:00,OCI,827,Ciutat Vella,21306,el Raval,4581075.134,2016-11-17T00:00:00,Arc del Teatre,5,1,431023.452,75,2.175112,C
41.390615,2,2016-03-21T00:00:00,TRÀNSIT,846,L'Eixample,162002,l'Antiga Esquerra de l'Eixample,4582474.094,2016-03-29T00:00:00,Josep Tarradellas,120,8,428429.605,76,2.143930,Av
41.391342,4,2016-03-21T00:00:00,TRÀNSIT,847,Les Corts,162002,les Corts,4582554.979,,Josep Tarradellas,151,19,428406.478,77,2.143644,Av
