Codi_Barri,Id_aforament
65.0, 10001
71.0, 10002
65.0, 10005
72.0, 10007
72.0, 10008
73.0, 10009
21.0, 1001
73.0, 10010
73.0, 10011
73.0, 10012
70.0, 10013
70.0, 10014
65.0, 10015
65.0, 10017
73.0, 10018
68.0, 10019
19.0, 1002
20.0, 1003
20.0, 1004
19.0, 1005
20.0, 1006
20.0, 1007
21.0, 1008
21.0, 1009
19.0, 1010
19.0, 1011
21.0, 1012
21.0, 1013
24.0, 1014
8.0, 1015
21.0, 1016
20.0, 1017
21.0, 1018
21.0, 1021
21.0, 1022
21.0, 1026
21.0, 1027
20.0, 1029
20.0, 1030
20.0, 1031
20.0, 1032
20.0, 1033
37.0, 11001
37.0, 11002
37.0, 11003
43.0, 11004
28.0, 11005
28.0, 11006
28.0, 11007
43.0, 11008
35.0, 11009
43.0, 11010
43.0, 11011
21.0, 11012
21.0, 11013
23.0, 11014
23.0, 11015
28.0, 11018
28.0, 11019
28.0, 11020
27.0, 11021
28.0, 11022
28.0, 11023
28.0, 11024
28.0, 11025
28.0, 11026
23.0, 11027
23.0, 11028
25.0, 11030
28.0, 11031
28.0, 11033
28.0, 11034
44.0, 13001
44.0, 13002
43.0, 13003
43.0, 13004
35.0, 13006
62.0, 13007
44.0, 13008
45.0, 13009
35.0, 13010
35.0, 13011
44.0, 13012
46.0, 13013
46.0, 13014
46.0, 13015
45.0, 13016
48.0, 13017
48.0, 13018
35.0, 13019
59.0, 16001
59.0, 16002
59.0, 16003
59.0, 16004
57.0, 16006
57.0, 16007
70.0, 17001
70.0, 17002
69.0, 17003
69.0, 17004
68.0, 17005
68.0, 17006
71.0, 17007
68.0, 17008
71.0, 17009
9.0, 2001
19.0, 2002
15.0, 2003
19.0, 2004
9.0, 2005
9.0, 2006
9.0, 2008
9.0, 2009
19.0, 2011
20.0, 2012
19.0, 2013
15.0, 2014
9.0, 2016
18.0, 2017
18.0, 2018
19.0, 2020
18.0, 2021
19.0, 2022
