addresses_neighborhood_id,addresses_neighborhood_name,secondary_filters_name,created,modified
7,la Dreta de l'Eixample,Apartaments,2018-09-21T11:57:04,2022-09-17T10:54:35.230190
6,la Sagrada Família,Apartaments,2018-09-21T12:02:48,2022-09-17T10:54:36.060760
26,Sant Gervasi - Galvany,Apartaments,1984-05-30T00:00:00,2022-09-17T03:52:06.314436
1,el Raval,Residències d'estudiants,1998-11-12T00:00:00,2024-05-21T14:30:54.551568
1,el Raval,Albergs juvenils,2002-07-06T10:38:49,2023-10-03T10:02:31.576985
24,les Tres Torres,Residències d'estudiants,1999-04-20T00:00:00,2022-09-17T05:50:56.016478
31,la Vila de Gràcia,Albergs juvenils,2013-04-09T11:57:41,2022-09-17T07:53:31.876278
28,Vallcarca i els Penitents,Albergs juvenils,1988-02-15T00:00:00,2022-09-23T14:50:17.987863
6,la Sagrada Família,Residències d'estudiants,1998-09-02T00:00:00,2022-09-17T05:42:29.501709
11,el Poble-sec,Albergs juvenils,2007-11-02T11:50:24,2022-09-17T06:53:33.196783
20,la Maternitat i Sant Ramon,Residències d'estudiants,2019-07-10T12:22:44,2022-09-17T11:05:25.407616
4,"Sant Pere, Santa Caterina i la Ribera",Albergs juvenils,2003-08-08T09:06:38,2022-09-17T06:04:18.018336
19,les Corts,Residències d'estudiants,2004-04-26T23:30:02,2023-10-03T10:37:18.152990
11,el Poble-sec,Albergs juvenils,2007-11-02T11:00:53,2022-09-17T06:53:31.626194
23,Sarrià,Albergs juvenils,2018-05-23T12:43:46,2022-09-17T09:18:09.726362
23,Sarrià,Residències d'estudiants,2018-05-23T12:43:46,2022-09-17T09:18:09.726362
18,Sants,Albergs juvenils,2018-05-23T12:47:28,2022-09-17T09:18:09.904544
11,el Poble-sec,Albergs juvenils,2018-05-23T12:54:37,2022-09-17T09:18:13.470605
18,Sants,Albergs juvenils,2018-05-23T13:07:45,2022-09-17T09:18:16.773418
7,la Dreta de l'Eixample,Albergs juvenils,2018-05-23T17:23:37,2022-09-17T09:18:22.601914
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-21T11:24:12,2023-03-09T13:13:43.961315
26,Sant Gervasi - Galvany,Albergs juvenils,2015-07-21T11:55:53,2022-09-17T08:24:06.495579
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-21T12:08:00,2022-09-17T08:24:09.615504
28,Vallcarca i els Penitents,Albergs juvenils,2015-02-18T12:12:59,2022-09-17T08:14:34.151924
11,el Poble-sec,Albergs juvenils,2015-02-18T12:15:51,2024-07-30T11:52:19.477028
19,les Corts,Albergs juvenils,2015-02-18T12:19:23,2022-09-17T08:14:34.067222
5,el Fort Pienc,Residències d'estudiants,2008-10-09T18:48:10,2022-09-17T07:04:40.070317
10,Sant Antoni,Albergs juvenils,2015-07-21T09:15:56,2022-09-17T08:23:51.768704
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-21T09:20:19,2022-09-17T08:23:52.728726
19,les Corts,Albergs juvenils,2015-07-21T09:53:16,2022-09-17T08:23:55.012406
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-21T10:27:22,2022-09-17T08:23:57.167582
23,Sarrià,Albergs juvenils,2015-07-21T10:39:29,2022-09-17T08:24:00.840251
31,la Vila de Gràcia,Residències d'estudiants,2021-02-25T09:53:14.860889,2022-09-17T11:25:09.436166
43,Horta,Col.legis majors,2006-07-03T15:14:02,2022-09-17T06:37:04.147972
43,Horta,Residències d'estudiants,2006-07-03T15:14:02,2022-09-17T06:37:04.147972
6,la Sagrada Família,Residències d'estudiants,2006-03-07T13:32:35,2022-09-17T06:34:50.072405
70,el Besòs i el Maresme,Residències d'estudiants,2021-02-25T11:03:13.343354,2022-09-17T11:25:12.632231
70,el Besòs i el Maresme,Residències d'estudiants,2022-09-01T09:24:12.416589,2022-09-01T09:25:00.831063
31,la Vila de Gràcia,Albergs juvenils,2015-07-20T16:40:28,2022-09-17T08:23:18.783925
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-20T16:48:12,2024-04-08T15:02:52.446095
26,Sant Gervasi - Galvany,Albergs juvenils,2015-07-20T17:04:22,2022-09-17T08:23:21.986044
66,el Parc i la Llacuna del Poblenou,Residències d'estudiants,2022-07-15T12:53:36.221823,2022-07-15T12:56:34.706056
4,"Sant Pere, Santa Caterina i la Ribera",Residències d'estudiants,1996-08-23T00:00:00,2022-02-08T12:48:56.940143
68,el Poblenou,Residències d'estudiants,1994-04-28T00:00:00,2022-09-17T05:08:47.892640
3,la Barceloneta,Albergs juvenils,2015-07-27T14:35:26,2022-09-17T08:26:00.115246
2,el Barri Gòtic,Albergs juvenils,1991-01-08T00:00:00,2022-09-17T04:44:40.530584
10,Sant Antoni,Albergs juvenils,2015-07-21T10:51:32,2022-09-17T08:24:02.159780
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-21T11:33:21,2022-09-17T08:24:05.100503
8,l'Antiga Esquerra de l'Eixample,Albergs juvenils,2015-07-21T11:52:23,2022-09-17T08:24:06.379724
20,la Maternitat i Sant Ramon,Col.legis majors,1991-03-06T00:00:00,2022-09-17T04:11:50.831513
21,Pedralbes,Col.legis majors,2002-05-09T10:29:32,2022-02-08T12:48:56.924589
11,el Poble-sec,Residències d'estudiants,2007-08-30T14:14:09,2021-04-12T18:20:39.106285
31,la Vila de Gràcia,Residències d'estudiants,1996-09-18T00:00:00,2023-10-03T10:40:14.075456
26,Sant Gervasi - Galvany,Residències d'estudiants,1998-12-14T00:00:00,2022-02-08T12:48:57.045909
1,el Raval,Residències d'estudiants,1996-09-18T00:00:00,2023-10-03T10:02:56.687596
31,la Vila de Gràcia,Residències d'estudiants,2007-10-11T10:09:09,2022-09-17T06:52:40.389816
66,el Parc i la Llacuna del Poblenou,Residències d'estudiants,2009-10-15T10:53:34,2021-04-12T17:19:07.036884
2,el Barri Gòtic,Albergs juvenils,2005-07-23T12:38:05,2023-10-03T10:02:27.418821
25,Sant Gervasi - la Bonanova,Residències d'estudiants,1988-03-22T00:00:00,2022-09-17T04:36:41.129283
64,el Camp de l'Arpa del Clot,Apartaments,2021-02-24T15:46:11.767956,2022-09-17T11:25:07.866613
1,el Raval,Apartaments,2015-07-28T09:36:52,2022-09-17T08:26:01.313537
6,la Sagrada Família,Apartaments,2015-07-28T10:28:27,2022-09-17T08:26:03.142224
26,Sant Gervasi - Galvany,Col.legis majors,1985-02-04T00:00:00,2023-02-01T17:03:02.125425
26,Sant Gervasi - Galvany,Apartaments,2015-07-28T09:27:22,2022-09-17T08:26:01.346578
18,Sants,Albergs juvenils,2015-07-20T18:47:17,2022-09-17T08:23:44.081238
2,el Barri Gòtic,Albergs juvenils,2015-07-20T18:53:33,2023-03-03T16:50:27.746165
18,Sants,Albergs juvenils,2015-07-21T08:17:16,2022-09-17T08:23:47.978133
64,el Camp de l'Arpa del Clot,Albergs juvenils,2015-07-21T10:14:56,2022-09-17T08:23:57.196291
10,Sant Antoni,Albergs juvenils,2015-07-21T10:33:37,2022-09-17T08:23:59.708400
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-20T18:06:45,2022-09-17T08:23:34.624748
31,la Vila de Gràcia,Albergs juvenils,2015-07-20T18:28:39,2022-09-17T08:23:37.022415
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-20T18:42:56,2022-09-17T08:23:42.737368
25,Sant Gervasi - la Bonanova,Residències d'estudiants,1996-09-18T00:00:00,2023-10-03T10:39:34.657348
32,el Camp d'en Grassot i Gràcia Nova,Albergs juvenils,2018-05-23T12:20:11,2022-09-17T09:18:03.786150
7,la Dreta de l'Eixample,Albergs juvenils,2018-05-23T12:36:07,2022-09-17T09:18:07.691819
1,el Raval,Residències d'estudiants,1997-04-05T00:00:00,2023-10-03T10:02:48.944003
7,la Dreta de l'Eixample,Residències d'estudiants,1998-10-24T00:00:00,2023-10-03T10:15:09.377549
10,Sant Antoni,Albergs juvenils,2015-07-20T17:07:09,2022-09-17T08:23:22.365309
7,la Dreta de l'Eixample,Residències d'estudiants,1996-09-18T00:00:00,2023-10-03T10:19:29.227953
9,la Nova Esquerra de l'Eixample,Apartaments,1996-09-17T00:00:00,2023-10-03T10:18:59.964931
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-20T17:21:24,2022-09-17T08:23:27.192433
8,l'Antiga Esquerra de l'Eixample,Albergs juvenils,2015-07-20T17:41:34,2022-09-17T08:23:30.571564
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-20T17:56:38,2022-09-17T08:23:31.701205
11,el Poble-sec,Albergs juvenils,2015-07-20T17:59:35,2024-07-30T11:49:28.013248
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-20T18:33:21,2022-09-17T08:23:39.358043
31,la Vila de Gràcia,Albergs juvenils,2015-07-20T18:36:20,2022-09-17T08:23:39.057829
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-20T18:41:06,2022-09-17T08:23:39.435035
17,Sants - Badal,Albergs juvenils,2015-07-20T18:44:41,2024-07-30T11:45:48.716587
7,la Dreta de l'Eixample,Residències d'estudiants,1998-12-14T00:00:00,2022-09-17T05:45:23.916486
31,la Vila de Gràcia,Residències d'estudiants,2000-05-25T00:00:00,2022-09-17T02:16:53.393947
66,el Parc i la Llacuna del Poblenou,Residències d'estudiants,2000-05-25T00:00:00,2022-09-17T02:16:54.006691
24,les Tres Torres,Col.legis majors,1996-09-18T00:00:00,2023-10-03T10:43:42.739763
31,la Vila de Gràcia,Residències d'estudiants,2006-11-28T10:44:05,2022-09-17T06:39:10.056723
8,l'Antiga Esquerra de l'Eixample,Residències d'estudiants,1997-09-20T00:00:00,2023-10-03T10:15:37.574675
21,Pedralbes,Col.legis majors,2002-05-09T10:29:32,2022-09-17T04:12:01.613095
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-23T15:37:19,2022-09-17T08:25:13.299038
31,la Vila de Gràcia,Albergs juvenils,2015-07-20T18:55:23,2022-09-17T08:23:46.850544
36,la Font d'en Fargues,Albergs juvenils,2015-07-21T08:43:13,2022-09-17T08:23:49.297460
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-21T09:11:25,2022-09-17T08:23:51.578880
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-21T09:47:40,2022-09-17T08:23:54.118520
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-21T09:57:25,2022-09-17T08:23:54.972947
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-21T10:02:11,2022-09-17T08:23:54.972694
31,la Vila de Gràcia,Albergs juvenils,2015-07-21T10:05:09,2022-09-17T08:23:56.655505
8,l'Antiga Esquerra de l'Eixample,Albergs juvenils,2015-07-21T10:08:14,2022-09-17T08:23:56.762611
10,Sant Antoni,Albergs juvenils,2015-07-21T10:47:20,2022-09-17T08:24:02.237497
11,el Poble-sec,Albergs juvenils,2015-07-20T17:17:26,2022-09-17T08:23:26.406457
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-20T18:57:01,2022-09-17T08:23:46.943258
15,Hostafrancs,Albergs juvenils,2015-07-21T08:25:01,2022-09-17T08:23:47.769627
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-21T08:36:17,2022-09-17T08:23:49.252854
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-21T09:39:26,2022-09-17T08:23:54.173756
10,Sant Antoni,Albergs juvenils,2015-07-21T11:39:30,2022-09-17T08:24:05.842703
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-21T12:12:16,2022-09-17T08:24:10.546661
31,la Vila de Gràcia,Albergs juvenils,2015-07-20T17:39:12,2022-09-17T08:23:30.508631
8,l'Antiga Esquerra de l'Eixample,Albergs juvenils,2015-07-20T17:45:21,2022-09-17T08:23:31.676333
60,Sant Andreu,Albergs juvenils,2015-07-20T17:50:27,2022-09-17T08:23:31.445625
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-20T18:12:52,2022-09-17T08:23:34.709758
30,la Salut,Albergs juvenils,2015-07-20T18:14:49,2022-09-17T08:23:35.671775
9,la Nova Esquerra de l'Eixample,Albergs juvenils,2015-07-20T18:21:35,2022-09-17T08:23:37.041492
64,el Camp de l'Arpa del Clot,Albergs juvenils,2015-07-20T18:30:40,2022-09-17T08:23:37.054679
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-20T18:39:00,2022-09-17T08:23:39.155361
25,Sant Gervasi - la Bonanova,Col.legis majors,1995-03-02T00:00:00,2022-09-17T05:13:15.762815
7,la Dreta de l'Eixample,Albergs juvenils,2018-05-23T13:04:18,2022-09-17T09:18:16.752064
10,Sant Antoni,Albergs juvenils,2018-05-23T13:17:03,2022-09-17T09:18:19.235859
7,la Dreta de l'Eixample,Albergs juvenils,2015-07-20T16:24:22,2022-09-17T08:23:16.529182
31,la Vila de Gràcia,Albergs juvenils,2015-07-20T16:53:49,2022-09-17T08:23:19.975271
8,l'Antiga Esquerra de l'Eixample,Albergs juvenils,2015-07-20T16:16:51,2022-09-17T08:23:15.630796
19,les Corts,Albergs juvenils,1988-02-15T00:00:00,2022-09-17T03:50:35.751230
18,Sants,Albergs juvenils,2008-10-10T13:34:10,2022-09-17T07:04:50.714569
18,Sants,Residències d'estudiants,2008-10-10T13:34:10,2022-09-17T07:04:50.714569
24,les Tres Torres,Col.legis majors,1985-02-04T00:00:00,2023-04-24T14:51:55.742664
25,Sant Gervasi - la Bonanova,Residències d'estudiants,1996-09-18T00:00:00,2023-10-03T10:41:16.196131
19,les Corts,Albergs juvenils,2018-05-23T11:46:10,2022-09-17T09:18:04.134019
7,la Dreta de l'Eixample,Albergs juvenils,2018-05-23T12:27:08,2022-09-17T09:18:05.391987
