addresses_neighborhood_id,addresses_neighborhood_name,secondary_filters_name,created,modified
7,la Dreta de l'Eixample,Hotels 5 estr.,2018-07-12T10:30:09,2022-09-17T10:50:03.718707
19,les Corts,Hotels 5 estr.,1996-09-18T00:00:00,2023-10-03T10:40:49.467529
7,la Dreta de l'Eixample,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:16:49.995969
1,el Raval,Hotels 5 estr.,1996-09-18T00:00:00,2023-10-03T10:03:11.040213
2,el Barri Gòtic,Hotels 1 estr.,1996-09-18T00:00:00,2023-10-03T10:02:55.182733
8,l'Antiga Esquerra de l'Eixample,Hotels 3 estr.,2011-11-17T12:41:54,2022-09-17T07:43:31.969782
10,Sant Antoni,Hotels 3 estr.,2012-06-21T11:22:22,2022-09-17T07:49:08.308795
4,"Sant Pere, Santa Caterina i la Ribera",Hotels 5 estr.,2018-09-25T12:22:56,2022-09-17T10:54:38.578469
7,la Dreta de l'Eixample,Hotels 5 estr.,2019-05-29T15:58:33,2022-09-17T11:03:46.286458
1,el Raval,Hotels 3 estr.,2004-12-13T11:12:44,2022-09-17T06:21:25.288842
5,el Fort Pienc,Hotels 4 estr.,2007-11-30T13:29:54,2022-09-17T06:54:14.027887
30,la Salut,Hotels 2 estr.,1998-08-01T00:00:00,2023-10-03T10:38:02.379032
26,Sant Gervasi - Galvany,Hotels 3 estr.,2001-06-09T00:00:00,2023-10-03T10:37:55.507915
7,la Dreta de l'Eixample,Hotels 1 estr.,1998-04-04T00:00:00,2023-10-03T10:15:15.750847
10,Sant Antoni,Hotels 3 estr.,1999-06-12T00:00:00,2023-10-03T10:15:54.708924
19,les Corts,Hotels 4 estr.,2006-04-11T18:01:15,2023-02-16T10:08:45.042166
19,les Corts,Hotels 3 estr.,1998-03-11T00:00:00,2022-09-17T05:38:46.699659
7,la Dreta de l'Eixample,Hotels 4 estr.,2013-05-30T13:21:52,2022-09-17T07:54:42.349337
66,el Parc i la Llacuna del Poblenou,Hotels 4 estr.,2003-05-20T11:24:40,2022-09-17T06:02:06.821812
5,el Fort Pienc,Hotels 3 estr.,2003-05-20T13:59:30,2022-09-17T06:02:10.449224
7,la Dreta de l'Eixample,Hotels 4 estr.,2002-12-16T13:22:27,2022-09-17T06:00:01.195618
1,el Raval,Hotels 3 estr.,2008-06-03T11:31:13,2022-09-17T07:01:33.897782
25,Sant Gervasi - la Bonanova,Hotels 4 estr.,1997-02-12T00:00:00,2022-09-17T05:28:32.758651
7,la Dreta de l'Eixample,Hotels 5 estr.,2016-04-27T08:43:14,2022-09-17T08:39:57.092358
9,la Nova Esquerra de l'Eixample,Hotels 3 estr.,2004-05-13T08:59:22,2022-09-17T06:17:13.690639
15,Hostafrancs,Hotels 4 estr.,2006-07-11T12:44:54,2022-09-17T06:37:14.711418
4,"Sant Pere, Santa Caterina i la Ribera",Hotels 4 estr.,2012-08-09T14:26:46,2024-10-14T14:16:04.307517
4,"Sant Pere, Santa Caterina i la Ribera",Hotels 3 estr.,2012-08-10T09:18:15,2022-09-17T07:50:14.749289
68,el Poblenou,Hotels 3 estr.,2013-07-02T14:20:28,2022-09-17T07:55:59.793036
25,Sant Gervasi - la Bonanova,Hotels 5 estr.,2008-02-20T12:37:51,2022-09-17T06:56:22.291244
8,l'Antiga Esquerra de l'Eixample,Hotels 4 estr.,2006-12-22T09:24:55,2022-09-17T06:44:38.243224
10,Sant Antoni,Hotels 2 estr.,2015-07-30T18:25:08,2022-09-17T08:26:16.348352
2,el Barri Gòtic,Hotels 3 estr.,2015-07-30T18:26:31,2022-09-17T08:26:18.462964
8,l'Antiga Esquerra de l'Eixample,Hotels 4 estr.,2015-07-30T18:33:43,2022-09-17T08:26:19.230877
7,la Dreta de l'Eixample,Hotels 1 estr.,2015-07-30T18:37:26,2022-09-17T08:26:19.970865
10,Sant Antoni,Hotels 4 estr.,2013-01-09T11:55:23,2022-09-17T07:52:05.277233
1,el Raval,Hotels 5 estr.,2010-08-30T13:55:37,2022-09-17T07:25:31.414158
11,el Poble-sec,Hotels 3 estr.,2018-08-20T09:26:36,2022-09-17T10:54:03.259471
7,la Dreta de l'Eixample,Hotels 2 estr.,2018-08-23T12:37:52,2022-09-17T10:54:16.816380
31,la Vila de Gràcia,Hotels 4 estr.,2018-07-10T12:37:56,2022-09-17T09:26:10.508480
9,la Nova Esquerra de l'Eixample,Hotels 4 estr.,2006-11-13T16:40:51,2022-09-17T06:38:56.641218
2,el Barri Gòtic,Hotels 2 estr.,1984-05-30T00:00:00,2022-09-17T04:56:38.792593
14,la Font de la Guatlla,Hotels 4 estr.,2007-11-29T11:36:16,2024-02-01T14:40:09.820364
7,la Dreta de l'Eixample,Hotels 4 estr.,2013-05-30T13:34:37,2022-09-17T07:54:42.501078
4,"Sant Pere, Santa Caterina i la Ribera",Hotels 4 estr.,2012-10-17T17:24:41,2022-09-17T07:51:04.369264
67,la Vila Olímpica del Poblenou,Hotels 4 estr.,2004-10-29T12:54:15,2022-09-17T06:20:30.733392
7,la Dreta de l'Eixample,Hotels 4 estr.,2018-07-10T12:15:22,2022-09-17T09:26:10.576503
26,Sant Gervasi - Galvany,Hotels 4 estr.,1984-05-30T00:00:00,2022-09-17T04:56:34.725680
7,la Dreta de l'Eixample,Hotels 3 estr.,1984-05-30T00:00:00,2022-09-17T04:56:38.742924
2,el Barri Gòtic,Hotels 3 estr.,1984-05-30T00:00:00,2022-09-17T04:56:39.771393
7,la Dreta de l'Eixample,Hotels 4 estr.,2017-06-19T17:12:10,2023-03-06T16:17:41.955950
66,el Parc i la Llacuna del Poblenou,Hotels 4 estr.,2017-10-25T12:04:45,2022-09-17T09:07:58.268339
17,Sants - Badal,Hotels 3 estr.,2017-10-25T13:09:38,2022-09-17T09:08:00.393978
7,la Dreta de l'Eixample,Hotels 5 estr.,2017-10-09T16:19:21,2022-09-17T09:05:50.263511
68,el Poblenou,Hotels 3 estr.,2002-05-28T20:22:51,2022-09-17T05:56:21.268720
2,el Barri Gòtic,Hotels 5 estr.,2020-03-06T14:45:02,2022-05-24T12:06:54.161612
7,la Dreta de l'Eixample,Hotels 4 estr.,2017-03-06T12:00:26,2022-09-17T08:55:03.296017
8,l'Antiga Esquerra de l'Eixample,Hotels 1 estr.,2015-01-05T11:51:04,2022-09-17T08:12:06.961364
6,la Sagrada Família,Hotels 2 estr.,2013-01-28T13:32:20,2022-09-17T07:52:16.937670
9,la Nova Esquerra de l'Eixample,Hotels 4 estr.,2012-08-09T14:12:22,2022-09-17T07:50:12.482776
