addresses_neighborhood_id,addresses_neighborhood_name,secondary_filters_name,created,modified
44,Vilapicina i la Torre Llobeta,Pensions,2018-09-14T13:45:25,2022-09-17T10:54:23.934466
10,Sant Antoni,Pensions,2015-07-24T10:18:31,2022-09-17T08:25:22.810523
31,la Vila de Gràcia,Pensions,2015-07-24T11:33:07,2022-09-17T08:25:26.120290
8,l'Antiga Esquerra de l'Eixample,Pensions,2015-07-24T12:08:42,2022-09-17T08:25:28.764548
27,el Putxet i el Farró,Pensions,2014-07-09T14:12:01,2022-09-17T08:07:29.298324
26,Sant Gervasi - Galvany,Pensions,2014-07-09T14:19:34,2022-09-17T08:07:34.131126
7,la Dreta de l'Eixample,Pensions,2001-10-27T00:00:00,2023-10-03T10:14:50.833760
2,el Barri Gòtic,Pensions,1996-09-18T00:00:00,2023-10-03T10:03:47.003712
4,"Sant Pere, Santa Caterina i la Ribera",Pensions,2015-02-17T14:15:40,2022-09-17T08:14:31.530978
2,el Barri Gòtic,Pensions,1996-09-18T00:00:00,2023-10-03T10:03:06.146937
7,la Dreta de l'Eixample,Pensions,2015-07-27T11:33:07,2022-09-17T08:25:57.469519
8,l'Antiga Esquerra de l'Eixample,Pensions,2015-07-27T11:42:46,2022-09-17T08:25:57.736825
15,Hostafrancs,Pensions,1996-09-17T00:00:00,2023-10-03T10:45:56.201034
31,la Vila de Gràcia,Pensions,2013-04-09T12:08:43,2022-09-17T07:53:35.537580
18,Sants,Pensions,2015-07-23T12:12:29,2022-09-17T08:24:57.525257
26,Sant Gervasi - Galvany,Pensions,2015-07-23T12:34:47,2022-09-17T08:25:00.222526
7,la Dreta de l'Eixample,Pensions,2015-07-23T13:51:18,2022-09-17T08:25:03.608506
2,el Barri Gòtic,Pensions,2015-07-23T13:54:49,2022-09-17T08:25:05.725593
2,el Barri Gòtic,Pensions,1996-09-17T00:00:00,2023-10-03T10:03:59.799742
16,la Bordeta,Pensions,2018-08-20T09:30:06,2022-09-17T10:54:02.402076
8,l'Antiga Esquerra de l'Eixample,Pensions,2018-08-20T09:48:55,2022-09-17T10:54:03.140467
8,l'Antiga Esquerra de l'Eixample,Pensions,2018-08-20T09:51:26,2022-09-17T10:54:03.865871
7,la Dreta de l'Eixample,Pensions,2015-07-23T14:51:39,2022-09-17T08:25:11.399646
31,la Vila de Gràcia,Pensions,2015-07-24T09:50:13,2022-09-17T08:25:20.903473
