Codi_barri,Nom_barri,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
1,el Raval  ,1.207,1.626,2.003,1.467,1.929,1.918,2.003,1.733,1.484,1.583,1.522
2,el Barri Gòtic  ,614.0,882.0,1.05,730.0,890.0,967.0,808.0,785.0,684.0,630.0,611.0
3,la Barceloneta  ,236.0,341.0,362.0,274.0,385.0,415.0,857.0,789.0,703.0,566.0,533.0
4,"Sant Pere, Santa Caterina i la Ribera  ",857.0,1.109,1.356,991.0,1.34,1.307,1.309,1.177,1.014,982.0,869.0
5,el Fort Pienc  ,770.0,1.033,1.398,914.0,1.144,1.191,1.054,870.0,806.0,910.0,862.0
6,la Sagrada Família  ,1.338,1.748,2.225,1.51,1.977,2.002,1.756,1.485,1.456,1.461,1.505
7,la Dreta de l'Eixample  ,1.514,1.808,2.313,1.628,2.077,2.212,1.871,1.611,1.422,1.43,1.355
8,l'Antiga Esquerra de l'Eixample  ,1.479,1.946,2.407,1.599,2.111,2.192,1.928,1.625,1.506,1.614,1.498
9,la Nova Esquerra de l'Eixample  ,1.53,2.08,2.631,1.74,2.236,2.404,2.064,1.766,1.727,1.794,1.668
10,Sant Antoni  ,981.0,1.359,1.714,1.078,1.449,1.512,1.351,1.1,1.083,1.165,1.127
11,el Poble Sec - AEI Parc Montjuïc  ,863.0,1.19,1.502,1.062,1.301,1.471,1.211,1.15,1.009,1.109,1.124
12,la Marina del Prat Vermell - AEI Zona Franca  ,93.0,65.0,7.0,5.0,63.0,3.0,4.0,10.0,21.0,4.0,1.0
13,la Marina de Port  ,302.0,435.0,472.0,317.0,411.0,463.0,402.0,380.0,354.0,392.0,344.0
14,la Font de la Guatlla  ,238.0,272.0,317.0,239.0,320.0,365.0,277.0,263.0,202.0,263.0,196.0
15,Hostafrancs  ,407.0,463.0,634.0,443.0,522.0,646.0,566.0,435.0,454.0,489.0,460.0
16,la Bordeta  ,550.0,693.0,480.0,324.0,395.0,450.0,420.0,268.0,307.0,372.0,334.0
17,Sants - Badal  ,503.0,693.0,883.0,627.0,756.0,781.0,651.0,609.0,634.0,666.0,568.0
18,Sants  ,1.029,1.389,1.583,1.197,1.448,1.59,1.399,1.17,1.068,1.23,1.075
19,les Corts  ,1.018,1.299,1.611,1.111,1.394,1.436,1.323,1.109,988.0,1.013,916.0
20,la Maternitat i Sant Ramon  ,440.0,605.0,727.0,531.0,651.0,688.0,612.0,549.0,517.0,501.0,472.0
21,Pedralbes  ,191.0,229.0,231.0,200.0,255.0,233.0,196.0,189.0,195.0,199.0,157.0
22,"Vallvidrera, el Tibidabo i les Planes  ",62.0,88.0,70.0,67.0,77.0,96.0,69.0,66.0,52.0,44.0,25.0
23,Sarrià  ,584.0,677.0,873.0,647.0,788.0,812.0,681.0,585.0,507.0,516.0,481.0
24,les Tres Torres  ,272.0,380.0,399.0,356.0,408.0,421.0,336.0,330.0,297.0,309.0,287.0
25,Sant Gervasi - la Bonanova  ,627.0,877.0,1.019,687.0,960.0,928.0,802.0,727.0,732.0,663.0,543.0
26,Sant Gervasi - Galvany  ,1.446,1.828,1.997,1.411,1.774,1.787,1.53,1.395,1.265,1.34,1.169
27,el Putxet i el Farró  ,886.0,1.257,1.464,1.001,1.338,1.261,1.198,1.004,1.016,938.0,884.0
28,Vallcarca i els Penitents  ,413.0,539.0,619.0,444.0,558.0,562.0,552.0,459.0,417.0,394.0,338.0
29,el Coll  ,159.0,195.0,231.0,162.0,214.0,223.0,193.0,198.0,162.0,174.0,138.0
30,la Salut  ,284.0,404.0,422.0,271.0,388.0,396.0,406.0,300.0,284.0,311.0,328.0
31,la Vila de Gràcia  ,1.781,2.43,2.978,2.074,2.682,2.686,2.57,2.191,2.105,2.224,1.943
32,el Camp d'en Grassot i Gràcia Nova  ,881.0,1.164,1.445,944.0,1.256,1.352,1.129,903.0,941.0,937.0,883.0
33,el Baix Guinardó  ,538.0,684.0,865.0,620.0,777.0,813.0,746.0,609.0,605.0,601.0,568.0
34,Can Baró  ,177.0,239.0,277.0,200.0,265.0,285.0,269.0,207.0,211.0,213.0,153.0
35,el Guinardó  ,841.0,1.048,1.184,886.0,1.085,1.076,1.061,889.0,808.0,918.0,717.0
36,la Font d'en Fargues  ,127.0,118.0,147.0,108.0,147.0,138.0,128.0,123.0,110.0,93.0,102.0
37,el Carmel  ,556.0,658.0,707.0,571.0,716.0,772.0,715.0,613.0,559.0,637.0,566.0
38,la Teixonera  ,242.0,277.0,302.0,235.0,289.0,295.0,301.0,311.0,254.0,242.0,197.0
39,Sant Genís dels Agudells  ,113.0,174.0,145.0,108.0,175.0,215.0,170.0,164.0,146.0,170.0,148.0
40,Montbau  ,120.0,156.0,155.0,93.0,177.0,154.0,141.0,141.0,104.0,70.0,67.0
41,la Vall d'Hebron  ,61.0,85.0,114.0,76.0,108.0,100.0,76.0,77.0,62.0,49.0,50.0
42,la Clota  ,9.0,5.0,7.0,9.0,11.0,14.0,8.0,15.0,12.0,8.0,1.0
43,Horta  ,494.0,588.0,637.0,429.0,629.0,651.0,582.0,505.0,427.0,444.0,419.0
44,Vilapicina i la Torre Llobeta  ,425.0,551.0,610.0,448.0,584.0,598.0,585.0,450.0,395.0,446.0,410.0
45,Porta  ,407.0,531.0,550.0,405.0,539.0,663.0,557.0,489.0,490.0,521.0,426.0
46,el Turó de la Peira  ,275.0,348.0,395.0,300.0,400.0,380.0,349.0,300.0,259.0,303.0,306.0
47,Can Peguera  ,2.0,5.0,5.0,6.0,7.0,7.0,14.0,18.0,11.0,33.0,17.0
48,la Guineueta  ,196.0,275.0,270.0,256.0,270.0,343.0,287.0,241.0,188.0,237.0,199.0
49,Canyelles  ,43.0,40.0,39.0,54.0,51.0,34.0,47.0,38.0,21.0,39.0,34.0
50,les Roquetes  ,207.0,272.0,259.0,221.0,258.0,270.0,285.0,264.0,248.0,272.0,263.0
51,Verdun  ,214.0,272.0,234.0,217.0,287.0,292.0,241.0,232.0,236.0,232.0,187.0
52,la Prosperitat  ,398.0,481.0,531.0,440.0,555.0,562.0,487.0,473.0,463.0,491.0,462.0
53,la Trinitat Nova  ,94.0,124.0,131.0,82.0,116.0,125.0,121.0,116.0,113.0,124.0,99.0
54,Torre Baró  ,12.0,12.0,14.0,16.0,15.0,21.0,30.0,29.0,21.0,28.0,7.0
55,Ciutat Meridiana  ,113.0,104.0,115.0,92.0,126.0,142.0,127.0,122.0,115.0,146.0,161.0
56,Vallbona  ,5.0,11.0,7.0,9.0,11.0,7.0,16.0,16.0,12.0,8.0,4.0
57,la Trinitat Vella  ,127.0,150.0,167.0,134.0,158.0,174.0,174.0,162.0,143.0,166.0,138.0
58,Baró de Viver  ,10.0,7.0,18.0,13.0,9.0,20.0,11.0,18.0,25.0,28.0,36.0
59,el Bon Pastor  ,181.0,163.0,165.0,174.0,158.0,185.0,167.0,159.0,173.0,159.0,146.0
60,Sant Andreu  ,910.0,1.104,1.231,923.0,1.149,1.268,1.126,961.0,934.0,1.038,883.0
61,la Sagrera  ,551.0,721.0,822.0,491.0,700.0,708.0,669.0,535.0,577.0,618.0,587.0
62,el Congrés i els Indians  ,246.0,310.0,399.0,264.0,328.0,367.0,309.0,237.0,240.0,284.0,232.0
63,Navas  ,386.0,472.0,571.0,454.0,469.0,563.0,526.0,373.0,449.0,435.0,418.0
64,el Camp de l'Arpa del Clot  ,894.0,1.186,1.432,1.067,1.302,1.398,1.239,1.034,1.02,1.059,978.0
65,el Clot  ,474.0,583.0,735.0,559.0,648.0,720.0,672.0,525.0,553.0,581.0,628.0
66,el Parc i la Llacuna del Poblenou  ,305.0,426.0,439.0,305.0,435.0,409.0,368.0,309.0,269.0,305.0,271.0
67,la Vila Olímpica del Poblenou  ,166.0,208.0,269.0,204.0,264.0,224.0,219.0,173.0,165.0,153.0,125.0
68,el Poblenou  ,800.0,966.0,1.155,849.0,1.06,1.072,973.0,839.0,720.0,781.0,715.0
69,Diagonal Mar i el Front Marítim del Poblenou  ,615.0,292.0,433.0,320.0,321.0,413.0,394.0,337.0,234.0,182.0,165.0
70,el Besòs i el Maresme  ,321.0,378.0,404.0,315.0,425.0,418.0,354.0,251.0,273.0,347.0,276.0
71,Provençals del Poblenou  ,301.0,430.0,451.0,354.0,418.0,446.0,427.0,362.0,304.0,305.0,243.0
72,Sant Martí de Provençals  ,402.0,558.0,507.0,424.0,467.0,486.0,454.0,377.0,349.0,362.0,378.0
73,la Verneda i la Pau  ,658.0,576.0,379.0,330.0,383.0,383.0,373.0,303.0,328.0,317.0,317.0
