Codi_Barri,Nom_Barri,Any,Index_Gini
1,el Raval,2022,35.6
1,el Raval,2022,34.8
1,el Raval,2022,36.1
1,el Raval,2022,35.6
1,el Raval,2022,35.7
1,el Raval,2022,38.6
1,el Raval,2022,36.1
1,el Raval,2022,32.6
1,el Raval,2022,36.6
1,el Raval,2022,33.2
1,el Raval,2022,33.4
1,el Raval,2022,33.4
1,el Raval,2022,34.1
1,el Raval,2022,30.5
1,el Raval,2022,32.7
1,el Raval,2022,29.7
1,el Raval,2022,29
1,el Raval,2022,30.5
1,el Raval,2022,34.7
1,el Raval,2022,37.9
1,el Raval,2022,38.5
2,el Barri Gòtic,2022,42
2,el Barri Gòtic,2022,35.2
2,el Barri Gòtic,2022,39
2,el Barri Gòtic,2022,38.3
2,el Barri Gòtic,2022,38.8
2,el Barri Gòtic,2022,37.9
2,el Barri Gòtic,2022,41.5
2,el Barri Gòtic,2022,37.8
2,el Barri Gòtic,2022,42
3,la Barceloneta,2022,35.7
3,la Barceloneta,2022,33.1
3,la Barceloneta,2022,34.2
3,la Barceloneta,2022,33
3,la Barceloneta,2022,31.1
3,la Barceloneta,2022,30.2
3,la Barceloneta,2022,35
3,la Barceloneta,2022,30.2
3,la Barceloneta,2022,37.9
3,la Barceloneta,2022,34.2
3,la Barceloneta,2022,31.4
4,"Sant Pere, Santa Caterina i la Ribera",2022,36.6
4,"Sant Pere, Santa Caterina i la Ribera",2022,38
4,"Sant Pere, Santa Caterina i la Ribera",2022,36.6
4,"Sant Pere, Santa Caterina i la Ribera",2022,35.3
4,"Sant Pere, Santa Caterina i la Ribera",2022,38.7
4,"Sant Pere, Santa Caterina i la Ribera",2022,36.2
4,"Sant Pere, Santa Caterina i la Ribera",2022,39.3
4,"Sant Pere, Santa Caterina i la Ribera",2022,35
4,"Sant Pere, Santa Caterina i la Ribera",2022,35.8
4,"Sant Pere, Santa Caterina i la Ribera",2022,40.5
4,"Sant Pere, Santa Caterina i la Ribera",2022,34.2
4,"Sant Pere, Santa Caterina i la Ribera",2022,33.7
4,"Sant Pere, Santa Caterina i la Ribera",2022,36.7
5,el Fort Pienc,2022,31.9
5,el Fort Pienc,2022,32.7
5,el Fort Pienc,2022,29.3
5,el Fort Pienc,2022,34.6
5,el Fort Pienc,2022,30.3
5,el Fort Pienc,2022,33.7
