Codi_Barri,Nom_Barri,Data_Revisio,Codi_Grup_Activitat,Nom_Grup_Activitat
60,Sant Andreu,2021-06-22T00:00:00,16,Altres
60,Sant Andreu,2021-06-22T00:00:00,9,Ensenyament
60,Sant Andreu,2021-06-22T00:00:00,16,Altres
60,Sant Andreu,2021-06-22T00:00:00,9,Ensenyament
60,Sant Andreu,2021-06-22T00:00:00,16,Altres
60,Sant Andreu,2021-06-22T00:00:00,17,Altres
60,Sant Andreu,2021-06-22T00:00:00,16,Altres
60,Sant Andreu,2021-06-22T00:00:00,17,Altres
60,Sant Andreu,2021-06-22T00:00:00,13,Reparacions (Electrodomèstics i automòbils)
60,Sant Andreu,2021-06-22T00:00:00,15,Sanitat i assistència
60,Sant Andreu,2021-06-22T00:00:00,7,Altres
60,Sant Andreu,2021-06-22T00:00:00,17,Altres
60,Sant Andreu,2021-06-22T00:00:00,17,Altres
60,Sant Andreu,2021-06-22T00:00:00,0,Grup no definit
60,Sant Andreu,2021-06-22T00:00:00,17,Altres
23,Sarrià,2021-05-03T00:00:00,13,Reparacions (Electrodomèstics i automòbils)
23,Sarrià,2021-05-03T00:00:00,6,Automoció
23,Sarrià,2021-05-03T00:00:00,6,Automoció
23,Sarrià,2021-05-03T00:00:00,4,Equipament personal
23,Sarrià,2021-05-03T00:00:00,15,Sanitat i assistència
1,el Raval,2021-10-08T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
1,el Raval,2021-10-08T00:00:00,16,Altres
1,el Raval,2021-10-08T00:00:00,0,Grup no definit
1,el Raval,2021-10-08T00:00:00,16,Altres
21,Pedralbes,2022-07-15T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
4,"Sant Pere, Santa Caterina i la Ribera",2021-01-27T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
4,"Sant Pere, Santa Caterina i la Ribera",2021-01-27T00:00:00,16,Altres
