addresses_neighborhood_id,addresses_neighborhood_name,secondary_filters_name,created,modified
11.0,el Poble-sec,Biblioteques,1986-05-16T00:00:00,2022-09-17T04:17:35.766491
31.0,la Vila de Gràcia,Biblioteques,1988-02-12T00:00:00,2022-09-17T04:28:07.434518
70.0,el Besòs i el Maresme,Sales d'estudi,1990-01-24T00:00:00,2024-10-22T12:12:39.180672
43.0,Horta,Sales d'estudi,2024-11-11T16:28:04.237093,2024-11-13T14:51:37.898524
4.0,"Sant Pere, Santa Caterina i la Ribera",Arxius municipals,1986-05-15T00:00:00,2024-08-02T11:30:26.432119
22.0,"Vallvidrera, el Tibidabo i les Planes",Biblioteques,2002-06-27T14:02:44,2024-11-13T12:35:05.724923
22.0,"Vallvidrera, el Tibidabo i les Planes",Biblioteques municipals,2002-06-27T14:02:44,2024-11-13T12:35:05.724923
22.0,"Vallvidrera, el Tibidabo i les Planes",Sales d'estudi,2002-06-27T14:02:44,2024-11-13T12:35:05.724923
21.0,Pedralbes,Sales d'estudi,1996-12-20T00:00:00,2024-06-20T11:37:38.480821
60.0,Sant Andreu,Biblioteques,2002-09-26T13:17:26,2024-11-13T13:47:35.250552
60.0,Sant Andreu,Biblioteques municipals,2002-09-26T13:17:26,2024-11-13T13:47:35.250552
60.0,Sant Andreu,Sales d'estudi,2002-09-26T13:17:26,2024-11-13T13:47:35.250552
3.0,la Barceloneta,Biblioteques,1995-11-21T00:00:00,2023-04-26T08:53:30.812812
9.0,la Nova Esquerra de l'Eixample,Biblioteques,1985-04-15T00:00:00,2023-02-01T17:02:53.018479
35.0,el Guinardó,Biblioteques,1989-07-07T00:00:00,2023-02-01T15:46:04.746021
20.0,la Maternitat i Sant Ramon,Museus,1986-03-18T00:00:00,2024-01-04T10:06:46.454258
70.0,el Besòs i el Maresme,Biblioteques,1984-05-30T00:00:00,2024-11-13T14:22:43.068569
70.0,el Besòs i el Maresme,Biblioteques municipals,1984-05-30T00:00:00,2024-11-13T14:22:43.068569
70.0,el Besòs i el Maresme,Sales d'estudi,1984-05-30T00:00:00,2024-11-13T14:22:43.068569
11.0,el Poble-sec,Museus,1986-11-24T00:00:00,2024-11-15T13:26:47.729381
