addresses_neighborhood_id,addresses_neighborhood_name,secondary_filters_name,created,modified
4,"Sant Pere, Santa Caterina i la Ribera",Cocteleries,2018-07-04T14:37:31,2024-09-18T14:04:56.267090
4,"Sant Pere, Santa Caterina i la Ribera",Xampanyeries,2018-07-04T14:37:31,2024-09-18T14:04:56.267090
8,l'Antiga Esquerra de l'Eixample,Bars i pubs musicals,1996-09-18T00:00:00,2023-10-03T10:16:08.756484
43,Horta,Bars i pubs musicals,1996-09-18T00:00:00,2023-10-03T10:40:48.855622
18,Sants,Bars i pubs musicals,1996-09-18T00:00:00,2023-10-03T10:44:13.003683
7,la Dreta de l'Eixample,Cocteleries,1996-09-18T00:00:00,2023-10-03T10:16:48.959789
7,la Dreta de l'Eixample,Xampanyeries,1996-09-18T00:00:00,2023-10-03T10:16:48.959789
68,el Poblenou,Discoteques,1996-09-18T00:00:00,2023-10-03T10:41:43.471437
68,el Poblenou,Sales de festes,1996-09-18T00:00:00,2023-10-03T10:41:43.471437
18,Sants,Bars i pubs musicals,1987-12-31T00:00:00,2022-09-17T04:34:47.601449
18,Sants,Bars i pubs musicals,2021-09-16T08:45:06.983105,2021-09-16T08:46:56.902034
8,l'Antiga Esquerra de l'Eixample,Bars i pubs musicals,2022-04-04T12:05:46.297567,2023-10-03T10:14:44.246112
8,l'Antiga Esquerra de l'Eixample,Karaokes,2022-04-04T12:05:46.297567,2023-10-03T10:14:44.246112
31,la Vila de Gràcia,Bars i pubs musicals,1996-09-18T00:00:00,2023-10-03T10:43:11.560890
31,la Vila de Gràcia,Discoteques,1996-09-18T00:00:00,2023-10-03T10:43:11.560890
2,el Barri Gòtic,Bars i pubs musicals,2003-07-08T15:11:19,2022-09-17T06:03:28.352899
8,l'Antiga Esquerra de l'Eixample,Bars i pubs musicals,1996-09-18T00:00:00,2023-10-03T10:18:02.488927
8,l'Antiga Esquerra de l'Eixample,Cocteleries,1996-09-18T00:00:00,2023-10-03T10:18:02.488927
8,l'Antiga Esquerra de l'Eixample,Xampanyeries,1996-09-18T00:00:00,2023-10-03T10:18:02.488927
7,la Dreta de l'Eixample,Bars i pubs musicals,1996-09-18T00:00:00,2023-10-03T10:17:19.697496
8,l'Antiga Esquerra de l'Eixample,Cocteleries,2018-09-17T13:23:32,2022-01-07T09:05:41.894981
8,l'Antiga Esquerra de l'Eixample,Xampanyeries,2018-09-17T13:23:32,2022-01-07T09:05:41.894981
8,l'Antiga Esquerra de l'Eixample,Restaurants,2018-09-17T13:23:32,2022-01-07T09:05:41.894981
7,la Dreta de l'Eixample,Bars i pubs musicals,1997-11-06T00:00:00,2024-09-18T13:43:02.323899
8,l'Antiga Esquerra de l'Eixample,Bars i pubs musicals,1996-09-18T00:00:00,2023-10-03T10:17:42.297064
8,l'Antiga Esquerra de l'Eixample,Cocteleries,1996-09-18T00:00:00,2023-10-03T10:17:42.297064
8,l'Antiga Esquerra de l'Eixample,Xampanyeries,1996-09-18T00:00:00,2023-10-03T10:17:42.297064
8,l'Antiga Esquerra de l'Eixample,Restaurants,1996-09-18T00:00:00,2023-10-03T10:17:42.297064
4,"Sant Pere, Santa Caterina i la Ribera",Bars i pubs musicals,2018-06-08T11:00:09,2022-09-17T09:20:58.113599
2,el Barri Gòtic,Cocteleries,2018-06-27T09:54:44,2024-09-19T09:56:07.593447
2,el Barri Gòtic,Xampanyeries,2018-06-27T09:54:44,2024-09-19T09:56:07.593447
