addresses_neighborhood_id,addresses_neighborhood_name,secondary_filters_name,created,modified
1,el Raval,Casals d'avis,1985-02-21T00:00:00,2024-07-01T13:33:34.620985
1,el Raval,WiFi BCN,1985-02-21T00:00:00,2024-07-01T13:33:34.620985
7,la Dreta de l'Eixample,Casals d'avis,1987-05-14T00:00:00,2023-02-01T16:52:23.967573
27,el Putxet i el Farró,Casals d'avis,1985-02-21T00:00:00,2022-09-17T04:16:15.955529
26,Sant Gervasi - Galvany,Casals d'avis,1985-02-21T00:00:00,2024-11-07T16:36:43.112773
2,el Barri Gòtic,Casals d'avis,1985-02-21T00:00:00,2024-06-21T13:26:45.553284
2,el Barri Gòtic,WiFi BCN,1985-02-21T00:00:00,2024-06-21T13:26:45.553284
4,"Sant Pere, Santa Caterina i la Ribera",Casals d'avis,1985-02-21T00:00:00,2022-09-17T04:16:11.111595
18,Sants,Casals d'avis,1985-02-21T00:00:00,2024-09-30T13:09:55.343249
55,Ciutat Meridiana,Centres cívics,1987-03-17T00:00:00,2024-06-25T15:04:12.026047
55,Ciutat Meridiana,WiFi BCN,1987-03-17T00:00:00,2024-06-25T15:04:12.026047
13,la Marina de Port,Casals d'avis,1985-01-21T00:00:00,2024-07-05T10:29:09.128789
13,la Marina de Port,WiFi BCN,1985-01-21T00:00:00,2024-07-05T10:29:09.128789
18,Sants,Casals d'avis,1985-02-21T00:00:00,2023-02-01T17:03:00.434650
26,Sant Gervasi - Galvany,Casals d'avis,1985-02-21T00:00:00,2024-06-25T11:53:42.560125
73,la Verneda i la Pau,Casals d'avis,1987-10-19T00:00:00,2024-06-26T12:10:09.018597
73,la Verneda i la Pau,WiFi BCN,1987-10-19T00:00:00,2024-06-26T12:10:09.018597
72,Sant Martí de Provençals,Casals d'avis,1987-10-19T00:00:00,2024-01-02T09:35:42.338044
13,la Marina de Port,Auditoris,1988-03-08T00:00:00,2024-07-05T10:11:50.534506
13,la Marina de Port,Casals i espais per a joves,1988-03-08T00:00:00,2024-07-05T10:11:50.534506
13,la Marina de Port,Centres cívics,1987-05-08T00:00:00,2024-11-12T12:52:49.071471
13,la Marina de Port,WiFi BCN,1987-05-08T00:00:00,2024-11-12T12:52:49.071471
22,"Vallvidrera, el Tibidabo i les Planes",Casals i espais per a joves,2018-04-05T00:00:00,2021-09-17T08:06:39.048298
53,la Trinitat Nova,Casals de barri,2018-04-09T13:55:57,2023-09-08T10:25:17.167623
23,Sarrià,Casals d'avis,2003-03-31T17:37:44,2023-01-10T11:04:09.567422
8,l'Antiga Esquerra de l'Eixample,Casals d'avis,1992-07-02T00:00:00,2024-07-25T12:52:10.269988
8,l'Antiga Esquerra de l'Eixample,WiFi BCN,1992-07-02T00:00:00,2024-07-25T12:52:10.269988
29,el Coll,Casals infantils,1993-01-20T00:00:00,2022-03-11T14:19:49.247968
71,Provençals del Poblenou,Casals de barri,2017-10-18T15:15:55,2024-08-01T07:42:28.269068
4,"Sant Pere, Santa Caterina i la Ribera",Casals infantils,2003-11-13T14:28:56,2021-07-06T17:18:34.456425
52,la Prosperitat,Casals d'avis,2003-04-29T11:30:26,2024-09-06T12:13:07.893310
18,Sants,Casals i espais per a joves,2018-01-12T14:27:54,2022-09-17T09:10:33.216476
22,"Vallvidrera, el Tibidabo i les Planes",Centres cívics,2002-06-27T14:20:06,2024-11-15T08:17:50.717043
22,"Vallvidrera, el Tibidabo i les Planes",WiFi BCN,2002-06-27T14:20:06,2024-11-15T08:17:50.717043
28,Vallcarca i els Penitents,Casals de barri,2020-01-28T19:32:37,2024-06-25T12:39:40.719837
3,la Barceloneta,Casals infantils,1999-02-01T00:00:00,2023-10-06T13:17:09.409950
27,el Putxet i el Farró,Casals de barri,2009-01-15T12:29:06,2022-09-17T07:09:51.005058
23,Sarrià,Casals d'avis,2001-10-24T00:00:00,2022-09-17T02:29:50.192190
8,l'Antiga Esquerra de l'Eixample,Casals i espais per a joves,1985-10-25T00:00:00,2023-02-01T17:05:22.658681
2,el Barri Gòtic,Casals infantils,1985-10-14T00:00:00,2021-07-28T09:25:51.283631
1,el Raval,Casals i espais per a joves,1985-03-07T00:00:00,2024-11-08T13:31:31.663981
41,la Vall d'Hebron,Casals de barri,2009-10-22T14:30:50,2024-07-26T11:29:10.357267
31,la Vila de Gràcia,Ateneus de fabricació,2020-02-27T15:03:29,2023-09-22T07:56:38.291555
19,les Corts,Ateneus de fabricació,2013-07-23T13:44:25,2024-07-19T13:16:11.329586
7,la Dreta de l'Eixample,Centres cívics,1984-06-26T00:00:00,2024-06-21T14:01:03.087438
7,la Dreta de l'Eixample,WiFi BCN,1984-06-26T00:00:00,2024-06-21T14:01:03.087438
62,el Congrés i els Indians,Centres cívics,2017-06-28T14:26:49,2023-12-01T08:35:18.106450
11,el Poble-sec,Bancs del Temps,2001-04-23T00:00:00,2022-09-17T02:22:48.721924
34,Can Baró,Casals infantils,2000-03-22T00:00:00,2021-07-06T17:16:41.163026
5,el Fort Pienc,Casals d'avis,2019-09-30T10:08:30,2023-07-24T12:58:50.407504
63,Navas,Centres cívics,2012-11-29T13:00:17,2024-11-15T07:52:41.419676
63,Navas,WiFi BCN,2012-11-29T13:00:17,2024-11-15T07:52:41.419676
32,el Camp d'en Grassot i Gràcia Nova,Centres cívics,1984-05-30T00:00:00,2024-06-25T12:50:38.798421
32,el Camp d'en Grassot i Gràcia Nova,WiFi BCN,1984-05-30T00:00:00,2024-06-25T12:50:38.798421
1,el Raval,Casals d'avis,1985-02-21T00:00:00,2023-02-01T17:03:00.659300
6,la Sagrada Família,Casals d'avis,1985-02-21T00:00:00,2023-03-09T15:06:13.275349
44,Vilapicina i la Torre Llobeta,Centres cívics,1984-05-30T00:00:00,2024-06-25T15:01:11.909690
44,Vilapicina i la Torre Llobeta,WiFi BCN,1984-05-30T00:00:00,2024-06-25T15:01:11.909690
49,Canyelles,Casals d'avis,1985-02-21T00:00:00,2023-01-10T11:11:40.704193
49,Canyelles,WiFi BCN,1985-02-21T00:00:00,2023-01-10T11:11:40.704193
45,Porta,Casals d'avis,1985-02-21T00:00:00,2024-09-18T14:01:28.698458
45,Porta,WiFi BCN,1985-02-21T00:00:00,2024-09-18T14:01:28.698458
9,la Nova Esquerra de l'Eixample,Casals infantils,2011-05-12T00:00:00,2024-10-17T10:15:29.032241
50,les Roquetes,Casals i espais per a joves,1985-03-21T00:00:00,2024-03-22T11:52:12.428041
35,el Guinardó,Casals infantils,1985-10-30T00:00:00,2024-07-24T13:23:14.574440
1,el Raval,Casals de barri,2011-05-25T15:05:02,2024-06-21T11:47:17.771716
3,la Barceloneta,Casals d'avis,1985-02-21T00:00:00,2024-09-06T12:11:12.885835
20,la Maternitat i Sant Ramon,Centres cívics,1999-05-05T00:00:00,2024-11-13T15:04:52.011613
20,la Maternitat i Sant Ramon,WiFi BCN,1999-05-05T00:00:00,2024-11-13T15:04:52.011613
10,Sant Antoni,Centres cívics,2002-01-11T00:00:00,2024-11-12T13:00:19.508358
10,Sant Antoni,WiFi BCN,2002-01-11T00:00:00,2024-11-12T13:00:19.508358
20,la Maternitat i Sant Ramon,Centres cívics,2000-03-30T00:00:00,2024-06-25T10:49:07.734342
20,la Maternitat i Sant Ramon,WiFi BCN,2000-03-30T00:00:00,2024-06-25T10:49:07.734342
