Codi_Barri,Nom_Barri,Any,Tipus_Equipament,Indicador,Valor
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Aforament,11265
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Entrades_Venudes,6424
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Espectacles,45
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Espectadors,7541
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Funcions,169
9,la Nova Esquerra de l'Eixample,2022,Sales d'arts escèniques,Aforament,112099
9,la Nova Esquerra de l'Eixample,2022,Sales d'arts escèniques,Entrades_Venudes,29315
9,la Nova Esquerra de l'Eixample,2022,Sales d'arts escèniques,Espectacles,34
9,la Nova Esquerra de l'Eixample,2022,Sales d'arts escèniques,Espectadors,35598
9,la Nova Esquerra de l'Eixample,2022,Sales d'arts escèniques,Funcions,355
31,la Vila de Gràcia,2022,Cinemes,Aforament,66294
31,la Vila de Gràcia,2022,Cinemes,Entrades_Venudes,38710
31,la Vila de Gràcia,2022,Cinemes,Espectacles,12
31,la Vila de Gràcia,2022,Cinemes,Espectadors,40566
31,la Vila de Gràcia,2022,Cinemes,Funcions,228
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Aforament,274421
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Entrades_Venudes,178850
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Espectacles,23
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Espectadors,187052
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Funcions,242
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,4008
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,2324
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,17
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,3049
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,91
8,l'Antiga Esquerra de l'Eixample,2022,Sales d'arts escèniques,Aforament,116181
8,l'Antiga Esquerra de l'Eixample,2022,Sales d'arts escèniques,Entrades_Venudes,49628
8,l'Antiga Esquerra de l'Eixample,2022,Sales d'arts escèniques,Espectacles,22
8,l'Antiga Esquerra de l'Eixample,2022,Sales d'arts escèniques,Espectadors,54765
8,l'Antiga Esquerra de l'Eixample,2022,Sales d'arts escèniques,Funcions,396
2,el Barri Gòtic,2022,Sales d'arts escèniques,Aforament,11842
2,el Barri Gòtic,2022,Sales d'arts escèniques,Entrades_Venudes,7765
2,el Barri Gòtic,2022,Sales d'arts escèniques,Espectacles,16
2,el Barri Gòtic,2022,Sales d'arts escèniques,Espectadors,8763
2,el Barri Gòtic,2022,Sales d'arts escèniques,Funcions,241
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,318663
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,212545
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,6
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,219029
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,280
4,"Sant Pere, Santa Caterina i la Ribera",2022,Fàbriques de Creació,Aforament,21446
4,"Sant Pere, Santa Caterina i la Ribera",2022,Fàbriques de Creació,Entrades_Venudes,7875
4,"Sant Pere, Santa Caterina i la Ribera",2022,Fàbriques de Creació,Espectacles,23
4,"Sant Pere, Santa Caterina i la Ribera",2022,Fàbriques de Creació,Espectadors,10499
4,"Sant Pere, Santa Caterina i la Ribera",2022,Fàbriques de Creació,Funcions,229
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Aforament,16452
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Entrades_Venudes,8201
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectacles,48
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectadors,8938
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Funcions,154
1,el Raval,2022,Grans auditoris,Aforament,281771
1,el Raval,2022,Grans auditoris,Entrades_Venudes,199880
1,el Raval,2022,Grans auditoris,Espectacles,39
1,el Raval,2022,Grans auditoris,Espectadors,224650
1,el Raval,2022,Grans auditoris,Funcions,151
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Aforament,74040
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Entrades_Venudes,38331
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectacles,20
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectadors,42259
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Funcions,274
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Aforament,14501
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Entrades_Venudes,9812
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectacles,33
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectadors,10226
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Funcions,308
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Aforament,7784
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Entrades_Venudes,3091
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectacles,15
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectadors,3820
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Funcions,178
27,el Putxet i el Farró,2022,Sales d'arts escèniques,Aforament,6556
27,el Putxet i el Farró,2022,Sales d'arts escèniques,Entrades_Venudes,2520
27,el Putxet i el Farró,2022,Sales d'arts escèniques,Espectacles,14
27,el Putxet i el Farró,2022,Sales d'arts escèniques,Espectadors,4211
27,el Putxet i el Farró,2022,Sales d'arts escèniques,Funcions,160
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Aforament,10933
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Entrades_Venudes,8000
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Espectacles,26
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Espectadors,8226
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Funcions,245
8,l'Antiga Esquerra de l'Eixample,2022,Sales d'arts escèniques,Aforament,148639
8,l'Antiga Esquerra de l'Eixample,2022,Sales d'arts escèniques,Entrades_Venudes,78969
8,l'Antiga Esquerra de l'Eixample,2022,Sales d'arts escèniques,Espectacles,13
8,l'Antiga Esquerra de l'Eixample,2022,Sales d'arts escèniques,Espectadors,84457
8,l'Antiga Esquerra de l'Eixample,2022,Sales d'arts escèniques,Funcions,367
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,1071
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,565
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,5
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,674
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,26
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,6460
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Espectacles,52
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,4387
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,25
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,5068
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,77
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,37123
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,20978
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,40
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,24206
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,104
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,7653
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,3489
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,12
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,4146
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,34
61,la Sagrera,2022,Fàbriques de Creació,Aforament,827
61,la Sagrera,2022,Fàbriques de Creació,Entrades_Venudes,222
61,la Sagrera,2022,Fàbriques de Creació,Espectacles,4
61,la Sagrera,2022,Fàbriques de Creació,Espectadors,318
61,la Sagrera,2022,Fàbriques de Creació,Funcions,17
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,1645
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,641
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,15
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,704
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,35
10,Sant Antoni,2022,Sales d'arts escèniques,Aforament,8892
10,Sant Antoni,2022,Sales d'arts escèniques,Entrades_Venudes,3251
10,Sant Antoni,2022,Sales d'arts escèniques,Espectacles,2
10,Sant Antoni,2022,Sales d'arts escèniques,Espectadors,4931
10,Sant Antoni,2022,Sales d'arts escèniques,Funcions,78
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Aforament,100075
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Entrades_Venudes,37246
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Espectadors,38880
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Funcions,625
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Aforament,7263
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Entrades_Venudes,3132
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Espectacles,7
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Espectadors,3877
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Funcions,140
68,el Poblenou,2022,Fàbriques de Creació,Aforament,45516
68,el Poblenou,2022,Fàbriques de Creació,Entrades_Venudes,23546
68,el Poblenou,2022,Fàbriques de Creació,Espectacles,26
68,el Poblenou,2022,Fàbriques de Creació,Espectadors,27433
68,el Poblenou,2022,Fàbriques de Creació,Funcions,314
1,el Raval,2022,Sales d'arts escèniques,Aforament,9561
1,el Raval,2022,Sales d'arts escèniques,Entrades_Venudes,4755
1,el Raval,2022,Sales d'arts escèniques,Espectacles,27
1,el Raval,2022,Sales d'arts escèniques,Espectadors,6022
1,el Raval,2022,Sales d'arts escèniques,Funcions,238
18,Sants,2022,Sales d'arts escèniques,Aforament,9271
18,Sants,2022,Sales d'arts escèniques,Entrades_Venudes,7435
18,Sants,2022,Sales d'arts escèniques,Espectacles,5
18,Sants,2022,Sales d'arts escèniques,Espectadors,8326
18,Sants,2022,Sales d'arts escèniques,Funcions,223
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Aforament,28304
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Entrades_Venudes,12295
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectacles,48
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectadors,12380
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Funcions,497
5,el Fort Pienc,2022,Sales d'arts escèniques,Aforament,17892
5,el Fort Pienc,2022,Sales d'arts escèniques,Entrades_Venudes,7246
5,el Fort Pienc,2022,Sales d'arts escèniques,Espectacles,16
