Espai,Any,Assistents
Diversos espais de la ciutat,2023,12163.0
SAT! Sant Andreu Teatre,2023,551.0
Diversos espais de la ciutat,2023,600.0
Sala Heliogàbal i Casinet d¿Hostafrancs,2023,660.0
Diversos espais de la ciutat,2023,12144.0
Diversos espais de la ciutat,2023,61261.0
Fira de Barcelona Gran Via,2023,58107.0
Edifici Històric de la Universitat de Barcelona,2023,1950.0
Barri de Poblenou,2023,220000.0
Ateneu Popular 9 Barris,2023,823.0
Diversos espais de la ciutat,2023,8695.0
Xarxa de centres cívics,2023,22086.0
L'Auditori,2023,3748.0
Antiga Fàbrica Estrella Damm,2023,4000.0
Diversos espais de la ciutat,2023,1521.0
Diversos espais de la ciutat,2023,12000.0
Diversos espais de la ciutat,2023,14429.0
Diversos espais de la ciutat,2023,26140.0
Diversos espais de la ciutat,2023,33463.0
Disseny Hub Barcelona,2023,9150.0
Centre de Cultura Contemporània de Barcelona. CCCB,2023,435.0
Centre de Cultura Contemporània de Barcelona. CCCB,2023,2789.0
Diversos espais de la ciutat,2023,1878.0
Diversos espais de la ciutat,2023,206.0
Diversos espais de la ciutat,2023,1800.0
Diversos espais de la ciutat,2023,21601.0
Disseny Hub Barcelona,2023,5000.0
Fira de Barcelona Montjuïc,2023,110000.0
Diversos espais de la ciutat,2023,1810.0
Diversos espais de la ciutat,2023,1020.0
Ateneu Popular 9 Barris,2023,878.0
Diversos espais de la ciutat,2023,12888.0
Diversos espais de la ciutat,2023,18700.0
Parc del Fòrum,2023,243000.0
Parc de les Glòries,2023,20000.0
Diversos espais de la ciutat,2023,1119.0
Diversos espais de la ciutat,2023,800.0
Diversos espais de la ciutat,2023,788.0
Districte de Ciutat Vella,2023,1145.0
Fabra i Coats Fàbrica de creació,2023,610.0
Castell de Montjuïc,2023,10185.0
Diversos espais de la ciutat,2023,5225.0
Centre de Cultura Contemporània de Barcelona. CCCB,2023,800.0
Diversos espais de la ciutat,2023,9602.0
Fabra i Coats Fàbrica de creació,2023,10000.0
Diversos espais de la ciutat,2023,14000.0
Barri de Poblenou,2023,20000.0
Diversos espais de la ciutat,2023,6831.0
La Pedrera,2023,4619.0
Diversos espais de la ciutat,2023,5482.0
Diversos espais de la ciutat,2023,960.0
Diversos espais de la ciutat,2023,4531.0
Diversos espais de la ciutat,2023,250.0
Parc del Fòrum,2023,34000.0
Diversos espais de la ciutat,2023,6600.0
Diversos espais de la ciutat,2023,1642.0
Diversos espais de la ciutat,2023,119628.0
Districte de les Corts,2023,7950.0
Diversos espais de la ciutat,2023,2113.0
Jardins del Palau de Pedralbes,2023,38000.0
Xarxa de centres cívics,2023,4037.0
Districte de l'Eixample,2023,3921.0
Centre Cultural la Farinera,2023,400.0
Diversos espais de la ciutat,2023,110582.0
Diversos espais de la ciutat,2023,4728.0
Palau Güell,2023,262.0
Castell de Montjuïc,2023,2577.0
Barri Gòtic,2023,1382.0
Castell de Montjuïc,2023,38400.0
Diversos espais de la ciutat,2023,3000.0
Pavelló Mies van der Rohe,2023,351.0
Diversos espais de la ciutat,2023,3300.0
CC Sant Agustí,2023,345.0
Parc del Fòrum,2023,76000.0
Platja de Sant Sebastià (Barceloneta),2023,25100.0
Horts de Can Soler,2023,59.0
Districte de Nou Barris,2023,7000.0
La terrassa de Diagonal Mar,2023,6500.0
