Codi_Barri,Nom_Barri,Any,TipusEquipament,Indicador,Valor
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Num_Exposicions_Temporals,3
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visitants,15018
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visites_Exposicions_Temporals,15018
6.0,la Sagrada Família,2023,Museus i exposicions,Visitants,4707367
14.0,la Font de la Guatlla,2023,Museus i exposicions,Num_Exposicions_Temporals,12
14.0,la Font de la Guatlla,2023,Museus i exposicions,Visitants,483852
14.0,la Font de la Guatlla,2023,Museus i exposicions,Visites_Exposicions_Temporals,449342
66.0,el Parc i la Llacuna del Poblenou,2023,Museus i exposicions,Num_Exposicions_Temporals,4
66.0,el Parc i la Llacuna del Poblenou,2023,Museus i exposicions,Visitants,18379
66.0,el Parc i la Llacuna del Poblenou,2023,Museus i exposicions,Visites_Exposicions_Temporals,13358
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Visitants,37005
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Visitants,1567160
30.0,la Salut,2023,Museus i exposicions,Visitants,123762
31.0,la Vila de Gràcia,2023,Museus i exposicions,Num_Exposicions_Temporals,2
31.0,la Vila de Gràcia,2023,Museus i exposicions,Visitants,200052
31.0,la Vila de Gràcia,2023,Museus i exposicions,Visites_Exposicions_Temporals,197407
11.0,el Poble Sec,2023,Museus i exposicions,Num_Exposicions_Temporals,7
11.0,el Poble Sec,2023,Museus i exposicions,Visitants,750864
11.0,el Poble Sec,2023,Museus i exposicions,Visites_Exposicions_Temporals,514304
1.0,el Raval,2023,Museus i exposicions,Num_Exposicions_Temporals,4
1.0,el Raval,2023,Museus i exposicions,Visitants,338500
1.0,el Raval,2023,Museus i exposicions,Visites_Exposicions_Temporals,218862
25.0,Sant Gervasi - la Bonanova,2023,Museus i exposicions,Fons_Colleccio,8234
25.0,Sant Gervasi - la Bonanova,2023,Museus i exposicions,Num_Exposicions_Temporals,4
25.0,Sant Gervasi - la Bonanova,2023,Museus i exposicions,Visitants,1266989
25.0,Sant Gervasi - la Bonanova,2023,Museus i exposicions,Visites_Exposicions_Temporals,357114
66.0,el Parc i la Llacuna del Poblenou,2023,Museus i exposicions,Num_Exposicions_Temporals,2
66.0,el Parc i la Llacuna del Poblenou,2023,Museus i exposicions,Visitants,120111
66.0,el Parc i la Llacuna del Poblenou,2023,Museus i exposicions,Visites_Exposicions_Temporals,62236
66.0,el Parc i la Llacuna del Poblenou,2023,Museus i exposicions,Fons_Colleccio,82115
66.0,el Parc i la Llacuna del Poblenou,2023,Museus i exposicions,Num_Exposicions_Temporals,4
66.0,el Parc i la Llacuna del Poblenou,2023,Museus i exposicions,Visitants,117292
60.0,Sant Andreu,2023,Museus i exposicions,Visitants,7182
66.0,el Parc i la Llacuna del Poblenou,2023,Museus i exposicions,Visites_Exposicions_Temporals,67421
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Num_Exposicions_Temporals,2
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visitants,926092
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visites_Exposicions_Temporals,54963
11.0,el Poble Sec,2023,Museus i exposicions,Visitants,8207
2.0,el Barri Gòtic,2023,Museus i exposicions,Visitants,444696
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Num_Exposicions_Temporals,3
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Visitants,15385
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Visites_Exposicions_Temporals,66
60.0,Sant Andreu,2023,Museus i exposicions,Num_Exposicions_Temporals,4
60.0,Sant Andreu,2023,Museus i exposicions,Visites_Exposicions_Temporals,5300
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Num_Exposicions_Temporals,6
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Visitants,40219
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Visites_Exposicions_Temporals,67936
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Fons_Colleccio,28172
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Num_Exposicions_Temporals,3
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visitants,18539
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visites_Exposicions_Temporals,18539
11.0,el Poble Sec,2023,Museus i exposicions,Fons_Colleccio,470
11.0,el Poble Sec,2023,Museus i exposicions,Visitants,176128
