Codi_Barri,Nom_Barri,Id_Equipament,Nom_Equipament,Tipus_Equipament
1,el Raval,453,23Robadors ,Sales de música en viu
62,el Congrés i els Indians,408,Agrupació Congrés,Ateneus
4,"Sant Pere, Santa Caterina i la Ribera",478,Agrupació Cultural Folklòrica Barcelona,Ateneus
31,la Vila de Gràcia,394,Almo2bar,Sales de música en viu
31,la Vila de Gràcia,393,Almodobar,Sales de música en viu
33,el Baix Guinardó,332,AMDB. Arxiu Municipal Districte d'Horta-Guinardó,Arxius de districte
1,el Raval,323,AMDB. Arxiu Municipal Districte de Ciutat Vella,Arxius de districte
28,Vallcarca i els Penitents,324,AMDB. Arxiu Municipal Districte de Gràcia,Arxius de districte
10,Sant Antoni,325,AMDB. Arxiu Municipal Districte de l'Eixample,Arxius de districte
19,les Corts,326,AMDB. Arxiu Municipal Districte de les Corts,Arxius de districte
48,la Guineueta,327,AMDB. Arxiu Municipal Districte de Nou Barris,Arxius de districte
60,Sant Andreu,328,AMDB. Arxiu Municipal Districte de Sant Andreu,Arxius de districte
67,la Vila Olímpica del Poblenou,329,AMDB. Arxiu Municipal Districte de Sant Martí,Arxius de districte
15,Hostafrancs,330,AMDB. Arxiu Municipal Districte de Sants-MontjuÏc,Arxius de districte
23,Sarrià,331,AMDB. Arxiu Municipal Districte Sarrià-St Gervasi,Arxius de districte
8,l'Antiga Esquerra de l'Eixample,479,Amics de la Unesco de Barcelona,Ateneus
4,"Sant Pere, Santa Caterina i la Ribera",137,Antic Teatre,Sales d'arts escèniques
11,el Poble Sec,182,Apolo,Sales de música en viu
9,la Nova Esquerra de l'Eixample,245,Aquitània Teatre,Sales d'arts escèniques
9,la Nova Esquerra de l'Eixample,334,Arenas de Barcelona Multicines 3D,Cinemes
8,l'Antiga Esquerra de l'Eixample,364,Aribau Multicines,Cinemes
66,el Parc i la Llacuna del Poblenou,74,Arxiu de la Corona d'Aragó,Arxius i biblioteques patrimonials
4,"Sant Pere, Santa Caterina i la Ribera",25,Arxiu Fotogràfic de Barcelona,Arxius i biblioteques patrimonials
2,el Barri Gòtic,24,Arxiu Històric de la Ciutat de Barcelona,Arxius i biblioteques patrimonials
35,el Guinardó,367,Arxiu Històric Hospital de la Sta. Creu i Sant Pau,Arxius i biblioteques patrimonials
2,el Barri Gòtic,72,Arxiu Municipal Contemporani de Barcelona,Arxius i biblioteques patrimonials
2,el Barri Gòtic,409,Ateneu Barcelonès,Ateneus
65,el Clot,410,Ateneu del Clot,Ateneus
43,Horta,411,Ateneu Hortenc,Ateneus
53,la Trinitat Nova,302,Ateneu Popular 9 Barris,Fàbriques de Creació
18,Sants,414,Centre Catòlic de Sants,Ateneus
27,el Putxet i el Farró,336,Balmes Multicines,Cinemes
6,la Sagrada Família,52,Basílica de la Sagrada Família,Espais d'interès patrimonial
3,la Barceloneta,77,Biblioteca Barceloneta - La Fraternitat,Biblioteques de Barcelona
59,el Bon Pastor,105,Biblioteca Bon Pastor - Josefina Castellví,Biblioteques de Barcelona
64,el Camp de l'Arpa del Clot,224,Biblioteca Camp de l'Arpa - Caterina Albert,Biblioteques de Barcelona
49,Canyelles,100,Biblioteca Canyelles - M Àngels Rivas,Biblioteques de Barcelona
24,les Tres Torres,92,Biblioteca Clarà,Biblioteques de Barcelona
22,"Vallvidrera, el Tibidabo i les Planes",93,Biblioteca Collserola - Josep Miracle,Biblioteques de Barcelona
1,el Raval,115,Biblioteca de Catalunya,Arxius i biblioteques patrimonials
37,el Carmel,96,Biblioteca El Carmel - Juan Marsé,Biblioteques de Barcelona
66,el Parc i la Llacuna del Poblenou,239,Biblioteca El Clot - Josep Benet,Biblioteques de Barcelona
9,la Nova Esquerra de l'Eixample,82,Biblioteca Esquerra de l'Eixample - Agustí Centelles,Biblioteques de Barcelona
5,el Fort Pienc,81,Biblioteca Fort Pienc - Ana M. Moix,Biblioteques de Barcelona
13,la Marina de Port,87,Biblioteca Francesc Candel,Biblioteques de Barcelona
4,"Sant Pere, Santa Caterina i la Ribera",78,Biblioteca Francesca Bonnemaison,Biblioteques de Barcelona
72,Sant Martí de Provençals,470,Biblioteca Gabriel García Márquez,Biblioteques de Barcelona
2,el Barri Gòtic,79,Biblioteca Gòtic - Andreu Nin,Biblioteques de Barcelona
33,el Baix Guinardó,97,Biblioteca Guinardó - Mercè Rodoreda,Biblioteques de Barcelona
43,Horta,98,Biblioteca Horta - Can Mariner,Biblioteques de Barcelona
60,Sant Andreu,107,Biblioteca Ignasi Iglésias - Can Fabra,Biblioteques de Barcelona
28,Vallcarca i els Penitents,94,Biblioteca Jaume Fuster,Biblioteques de Barcelona
9,la Nova Esquerra de l'Eixample,83,Biblioteca Joan Miró,Biblioteques de Barcelona
61,la Sagrera,108,Biblioteca La Sagrera - Marina Clotet,Biblioteques de Barcelona
20,la Maternitat i Sant Ramon,91,Biblioteca Les Corts - Miquel Llongueras,Biblioteques de Barcelona
50,les Roquetes,101,Biblioteca Les Roquetes - Rafa Juncadella,Biblioteques de Barcelona
40,Montbau,99,Biblioteca Montbau - Albert Pérez Baró,Biblioteques de Barcelona
19,les Corts,403,Biblioteca Montserrat Abelló,Biblioteques de Barcelona
48,la Guineueta,102,Biblioteca Nou Barris - Aurora Díaz Plaja ,Biblioteques de Barcelona
11,el Poble Sec,88,Biblioteca Poble Sec - Francesc Boix,Biblioteques de Barcelona
68,el Poblenou,109,Biblioteca Poblenou - Manuel Arranz,Biblioteques de Barcelona
5,el Fort Pienc,113,Biblioteca Pública Arús,Arxius i biblioteques patrimonials
70,el Besòs i el Maresme,110,Biblioteca Ramon d'Alòs-Moner,Biblioteques de Barcelona
6,la Sagrada Família,84,Biblioteca Sagrada Família - J. M. Ainaud de Lasarte,Biblioteques de Barcelona
10,Sant Antoni,85,Biblioteca Sant Antoni - Joan Oliver,Biblioteques de Barcelona
25,Sant Gervasi - la Bonanova,365,Biblioteca Sant Gervasi - Joan Maragall,Biblioteques de Barcelona
1,el Raval,80,Biblioteca Sant Pau - Santa Creu,Biblioteques de Barcelona
7,la Dreta de l'Eixample,86,Biblioteca Sofia Barat,Biblioteques de Barcelona
57,la Trinitat Vella,210,Biblioteca Trinitat Vella - José Barbero,Biblioteques de Barcelona
28,Vallcarca i els Penitents,195,Biblioteca Vallcarca i els Penitents - M. Antonieta Cot,Biblioteques de Barcelona
18,Sants,89,Biblioteca Vapor Vell,Biblioteques de Barcelona
31,la Vila de Gràcia,95,Biblioteca Vila de Gràcia - Rosa M. Arquimbau,Biblioteques de Barcelona
44,Vilapicina i la Torre Llobeta,103,Biblioteca Vilapicina i la Torre Llobeta - Carmen Laforet,Biblioteques de Barcelona
67,la Vila Olímpica del Poblenou,112,Biblioteca Xavier Benguerel,Biblioteques de Barcelona
54,Torre Baró,104,Biblioteca Zona Nord - Mària Sánchez,Biblioteques de Barcelona
19,les Corts,168,Bikini Barcelona,Sales de música en viu
26,Sant Gervasi - Galvany,337,Boliche Cinemes,Cinemes
31,la Vila de Gràcia,338,Bosque Multicines,Cinemes
14,la Font de la Guatlla,60,CaixaForum,Centres d'exposicions
66,el Parc i la Llacuna del Poblenou,39,Can Framis. Fundació Vila Casas,Museus i col·leccions
7,la Dreta de l'Eixample,448,Casa Amatller,Espais d'interès patrimonial
7,la Dreta de l'Eixample,55,Casa Batlló,Espais d'interès patrimonial
30,la Salut,53,Casa Museu Gaudí,Espais d'interès patrimonial
31,la Vila de Gràcia,437,Casa Vicens,Espais d'interès patrimonial
60,Sant Andreu,412,Casal Catòlic de Sant Andreu,Ateneus
68,el Poblenou,413,Casino l'Aliança del Poblenou,Ateneus
11,el Poble Sec,54,Castell de Montjuïc,Museus i col·leccions
66,el Parc i la Llacuna del Poblenou,452,Ceferino,Sales de música en viu
31,la Vila de Gràcia,430,Centre Artesà Tradicionàrius. CAT,Sales de música en viu
3,la Barceloneta,187,Centre Cívic Barceloneta,Centres cívics
58,Baró de Viver,291,Centre Cívic Baró de Viver,Centres cívics
70,el Besòs i el Maresme,298,Centre Cívic Besòs,Centres cívics
59,el Bon Pastor,292,Centre Cívic Bon Pastor,Centres cívics
46,el Turó de la Peira,287,Centre Cívic Can Basté,Centres cívics
26,Sant Gervasi - Galvany,272,Centre Cívic Can Castelló,Centres cívics
62,el Congrés i els Indians,429,Centre Cívic Can Clariana Cultural,Centres cívics
19,les Corts,268,Centre Cívic Can Deu,Centres cívics
68,el Poblenou,297,Centre Cívic Can Felipa,Centres cívics
45,Porta,288,Centre Cívic Can Verdaguer,Centres cívics
13,la Marina de Port,261,Centre Cívic Casa del Rellotge,Centres cívics
39,Sant Genís dels Agudells,282,Centre Cívic Casa Groga,Centres cívics
23,Sarrià,273,Centre Cívic Casa Orlandai,Centres cívics
15,Hostafrancs,262,Centre Cívic Casinet d'Hostafrancs,Centres cívics
4,"Sant Pere, Santa Caterina i la Ribera",252,Centre Cívic Convent de Sant Agustí,Centres cívics
10,Sant Antoni,257,Centre Cívic Cotxeres Borrell,Centres cívics
18,Sants,263,Centre Cívic Cotxeres de Sants,Centres cívics
66,el Parc i la Llacuna del Poblenou,299,Centre Cívic del Parc - Sandaru,Centres cívics
1,el Raval,253,Centre Cívic Drassanes,Centres cívics
37,el Carmel,283,Centre Cívic El Carmel,Centres cívics
29,el Coll,280,Centre Cívic El Coll - La Bruguera,Centres cívics
11,el Poble Sec,264,Centre Cívic El Sortidor,Centres cívics
14,la Font de la Guatlla,265,Centre Cívic Font de la Guatlla,Centres cívics
5,el Fort Pienc,255,Centre Cívic Fort Pienc,Centres cívics
9,la Nova Esquerra de l'Eixample,256,Centre Cívic Golferichs,Centres cívics
35,el Guinardó,284,Centre Cívic Guinardó,Centres cívics
20,la Maternitat i Sant Ramon,269,Centre Cívic Joan Oliver - Pere Quart,Centres cívics
20,la Maternitat i Sant Ramon,271,Centre Cívic Josep M. Trias i Peitx - Riera Blanca,Centres cívics
22,"Vallvidrera, el Tibidabo i les Planes",275,Centre Cívic l'Elèctric,Centres cívics
13,la Marina de Port,266,Centre Cívic La Cadena,Centres cívics
7,la Dreta de l'Eixample,258,Centre Cívic La Casa Elizalde,Centres cívics
61,la Sagrera,293,Centre Cívic La Sagrera,Centres cívics
32,el Camp d'en Grassot i Gràcia Nova,281,Centre Cívic La Sedeta,Centres cívics
43,Horta,286,Centre Cívic Matas i Ramis,Centres cívics
63,Navas,294,Centre Cívic Navas,Centres cívics
2,el Barri Gòtic,254,Centre Cívic Pati Llimona,Centres cívics
25,Sant Gervasi - la Bonanova,276,Centre Cívic Pere Pruna,Centres cívics
6,la Sagrada Família,259,Centre Cívic Sagrada Família,Centres cívics
