Codi_barri,Nom_barri,Any,Edat_mitjana
1,el Raval,2024,98.4
1,el Raval,2024,107.4
1,el Raval,2024,110.3
1,el Raval,2024,93.2
1,el Raval,2024,117.6
1,el Raval,2024,127.4
1,el Raval,2024,104.4
1,el Raval,2024,119.3
1,el Raval,2024,105.2
1,el Raval,2024,130.0
1,el Raval,2024,142.1
1,el Raval,2024,110.2
1,el Raval,2024,116.1
1,el Raval,2024,138.8
1,el Raval,2024,113.8
1,el Raval,2024,114.7
1,el Raval,2024,141.0
1,el Raval,2024,111.5
1,el Raval,2024,145.0
1,el Raval,2024,120.1
1,el Raval,2024,113.3
2,el Barri Gòtic,2024,111.8
2,el Barri Gòtic,2024,123.9
2,el Barri Gòtic,2024,171.5
2,el Barri Gòtic,2024,143.5
2,el Barri Gòtic,2024,139.8
2,el Barri Gòtic,2024,120.7
2,el Barri Gòtic,2024,113.9
2,el Barri Gòtic,2024,111.1
2,el Barri Gòtic,2024,135.0
3,la Barceloneta,2024,93.9
3,la Barceloneta,2024,87.5
3,la Barceloneta,2024,84.6
3,la Barceloneta,2024,97.2
3,la Barceloneta,2024,61.9
3,la Barceloneta,2024,94.9
3,la Barceloneta,2024,108.6
3,la Barceloneta,2024,93.6
3,la Barceloneta,2024,87.8
3,la Barceloneta,2024,102.3
3,la Barceloneta,2024,88.7
4,"Sant Pere, Santa Caterina i la Ribera",2024,118.8
4,"Sant Pere, Santa Caterina i la Ribera",2024,97.8
4,"Sant Pere, Santa Caterina i la Ribera",2024,132.0
4,"Sant Pere, Santa Caterina i la Ribera",2024,126.3
4,"Sant Pere, Santa Caterina i la Ribera",2024,132.5
4,"Sant Pere, Santa Caterina i la Ribera",2024,123.3
4,"Sant Pere, Santa Caterina i la Ribera",2024,102.2
4,"Sant Pere, Santa Caterina i la Ribera",2024,122.6
4,"Sant Pere, Santa Caterina i la Ribera",2024,126.5
4,"Sant Pere, Santa Caterina i la Ribera",2024,119.7
4,"Sant Pere, Santa Caterina i la Ribera",2024,123.6
4,"Sant Pere, Santa Caterina i la Ribera",2024,107.3
4,"Sant Pere, Santa Caterina i la Ribera",2024,86.4
5,el Fort Pienc,2024,58.1
5,el Fort Pienc,2024,55.8
5,el Fort Pienc,2024,73.9
5,el Fort Pienc,2024,61.8
5,el Fort Pienc,2024,58.2
5,el Fort Pienc,2024,79.3
5,el Fort Pienc,2024,65.6
5,el Fort Pienc,2024,70.7
5,el Fort Pienc,2024,73.6
5,el Fort Pienc,2024,64.7
5,el Fort Pienc,2024,54.7
5,el Fort Pienc,2024,71.4
5,el Fort Pienc,2024,81.6
5,el Fort Pienc,2024,84.9
5,el Fort Pienc,2024,72.7
5,el Fort Pienc,2024,66.7
5,el Fort Pienc,2024,68.6
5,el Fort Pienc,2024,74.2
5,el Fort Pienc,2024,62.4
5,el Fort Pienc,2024,71.3
6,la Sagrada Família,2024,64.1
6,la Sagrada Família,2024,83.9
6,la Sagrada Família,2024,49.4
6,la Sagrada Família,2024,70.8
6,la Sagrada Família,2024,70.2
6,la Sagrada Família,2024,75.6
6,la Sagrada Família,2024,67.1
6,la Sagrada Família,2024,77.5
6,la Sagrada Família,2024,63.5
6,la Sagrada Família,2024,61.7
6,la Sagrada Família,2024,74.3
6,la Sagrada Família,2024,65.4
6,la Sagrada Família,2024,77.2
6,la Sagrada Família,2024,75.7
6,la Sagrada Família,2024,67.8
6,la Sagrada Família,2024,69.7
6,la Sagrada Família,2024,60.9
6,la Sagrada Família,2024,73.4
6,la Sagrada Família,2024,72.7
6,la Sagrada Família,2024,79.4
6,la Sagrada Família,2024,77.8
6,la Sagrada Família,2024,52.9
6,la Sagrada Família,2024,63.5
6,la Sagrada Família,2024,80.7
6,la Sagrada Família,2024,65.4
6,la Sagrada Família,2024,70.2
6,la Sagrada Família,2024,63.6
6,la Sagrada Família,2024,74.3
6,la Sagrada Família,2024,72.4
6,la Sagrada Família,2024,75.0
6,la Sagrada Família,2024,94.7
6,la Sagrada Família,2024,74.2
6,la Sagrada Família,2024,75.6
6,la Sagrada Família,2024,75.1
7,la Dreta de l'Eixample,2024,82.0
7,la Dreta de l'Eixample,2024,71.9
7,la Dreta de l'Eixample,2024,80.1
7,la Dreta de l'Eixample,2024,98.1
7,la Dreta de l'Eixample,2024,85.1
7,la Dreta de l'Eixample,2024,79.1
7,la Dreta de l'Eixample,2024,80.3
7,la Dreta de l'Eixample,2024,107.0
7,la Dreta de l'Eixample,2024,88.4
7,la Dreta de l'Eixample,2024,90.4
7,la Dreta de l'Eixample,2024,104.0
7,la Dreta de l'Eixample,2024,81.6
7,la Dreta de l'Eixample,2024,91.0
7,la Dreta de l'Eixample,2024,98.5
7,la Dreta de l'Eixample,2024,95.5
7,la Dreta de l'Eixample,2024,91.7
7,la Dreta de l'Eixample,2024,92.4
7,la Dreta de l'Eixample,2024,91.9
7,la Dreta de l'Eixample,2024,99.0
7,la Dreta de l'Eixample,2024,112.4
7,la Dreta de l'Eixample,2024,104.5
7,la Dreta de l'Eixample,2024,103.5
7,la Dreta de l'Eixample,2024,95.1
7,la Dreta de l'Eixample,2024,85.3
7,la Dreta de l'Eixample,2024,93.2
7,la Dreta de l'Eixample,2024,86.1
7,la Dreta de l'Eixample,2024,93.5
7,la Dreta de l'Eixample,2024,80.7
7,la Dreta de l'Eixample,2024,95.6
8,l'Antiga Esquerra de l'Eixample,2024,98.4
8,l'Antiga Esquerra de l'Eixample,2024,91.0
8,l'Antiga Esquerra de l'Eixample,2024,95.2
8,l'Antiga Esquerra de l'Eixample,2024,86.6
8,l'Antiga Esquerra de l'Eixample,2024,89.4
8,l'Antiga Esquerra de l'Eixample,2024,104.1
8,l'Antiga Esquerra de l'Eixample,2024,110.0
8,l'Antiga Esquerra de l'Eixample,2024,97.2
8,l'Antiga Esquerra de l'Eixample,2024,92.8
8,l'Antiga Esquerra de l'Eixample,2024,84.4
8,l'Antiga Esquerra de l'Eixample,2024,89.9
8,l'Antiga Esquerra de l'Eixample,2024,101.6
8,l'Antiga Esquerra de l'Eixample,2024,94.8
8,l'Antiga Esquerra de l'Eixample,2024,86.7
8,l'Antiga Esquerra de l'Eixample,2024,97.9
8,l'Antiga Esquerra de l'Eixample,2024,89.0
