Codi_Barri,Nom_Barri,Any,Superfície (ha)
1,el Raval,2021,110.0
2,el Barri Gòtic,2021,81.6
3,la Barceloneta,2021,117.9
4,"Sant Pere, Santa Caterina i la Ribera",2021,111.0
5,el Fort Pienc,2021,92.9
6,la Sagrada Família,2021,104.2
7,la Dreta de l'Eixample,2021,212.0
8,l'Antiga Esquerra de l'Eixample,2021,122.8
9,la Nova Esquerra de l'Eixample,2021,134.1
10,Sant Antoni,2021,80.4
11,el Poble Sec,2021,458.5
12,la Marina del Prat Vermell,2021,1423.7
13,la Marina de Port,2021,126.9
14,la Font de la Guatlla,2021,29.7
15,Hostafrancs,2021,41.0
16,la Bordeta,2021,57.2
17,Sants - Badal,2021,41.5
18,Sants,2021,109.5
19,les Corts,2021,141.0
20,la Maternitat i Sant Ramon,2021,191.5
21,Pedralbes,2021,268.5
22,"Vallvidrera, el Tibidabo i les Planes",2021,1132.9
23,Sarrià,2021,304.7
24,les Tres Torres,2021,78.8
25,Sant Gervasi - la Bonanova,2021,223.4
26,Sant Gervasi - Galvany,2021,166.9
27,el Putxet i el Farró,2021,84.8
28,Vallcarca i els Penitents,2021,125.1
29,el Coll,2021,35.3
30,la Salut,2021,64.8
31,la Vila de Gràcia,2021,132.1
32,el Camp d'en Grassot i Gràcia Nova,2021,65.1
33,el Baix Guinardó,2021,56.2
34,Can Baró,2021,38.4
35,el Guinardó,2021,130.9
36,la Font d'en Fargues,2021,65.7
37,el Carmel,2021,94.0
38,la Teixonera,2021,33.8
39,Sant Genís dels Agudells,2021,168.1
40,Montbau,2021,205.5
41,la Vall d'Hebron,2021,74.5
42,la Clota,2021,17.8
43,Horta,2021,307.0
44,Vilapicina i la Torre Llobeta,2021,56.4
45,Porta,2021,83.7
46,el Turó de la Peira,2021,35.4
47,Can Peguera,2021,11.9
48,la Guineueta,2021,61.2
49,Canyelles,2021,79.0
50,les Roquetes,2021,64.3
51,Verdun,2021,23.7
52,la Prosperitat,2021,59.1
53,la Trinitat Nova,2021,57.7
54,Torre Baró,2021,174.2
55,Ciutat Meridiana,2021,37.7
56,Vallbona,2021,61.4
57,la Trinitat Vella,2021,80.8
58,Baró de Viver,2021,23.0
59,el Bon Pastor,2021,186.8
60,Sant Andreu,2021,186.7
61,la Sagrera,2021,98.6
62,el Congrés i els Indians,2021,40.9
63,Navas,2021,42.4
64,el Camp de l'Arpa del Clot,2021,74.1
65,el Clot,2021,69.7
66,el Parc i la Llacuna del Poblenou,2021,112.2
67,la Vila Olímpica del Poblenou,2021,92.5
68,el Poblenou,2021,156.7
69,Diagonal Mar i el Front Marítim del Poblenou,2021,122.7
70,el Besòs i el Maresme,2021,120.9
71,Provençals del Poblenou,2021,108.6
72,Sant Martí de Provençals,2021,73.4
73,la Verneda i la Pau,2021,113.0
1,el Raval,2020,110.0
2,el Barri Gòtic,2020,81.6
3,la Barceloneta,2020,117.9
4,"Sant Pere, Santa Caterina i la Ribera",2020,111.0
5,el Fort Pienc,2020,92.9
6,la Sagrada Família,2020,104.2
7,la Dreta de l'Eixample,2020,212.0
