CODI_BARRI,BARRI,Any
,el Raval,2018
,la Sagrada Família,2018
,la Dreta de l'Eixample,2018
,el Raval,2018
,la Dreta de l'Eixample,2018
,l'Antiga Esquerra de l'Eixample,2018
,Sant Antoni,2018
,Sant Antoni,2018
,les Corts,2018
,Sant Antoni,2018
,la Dreta de l'Eixample,2018
,la Vila de Gràcia,2018
,la Vila de Gràcia,2018
,la Vila de Gràcia,2018
,la Vila de Gràcia,2018
,la Nova Esquerra de l'Eixample,2018
,la Vila de Gràcia,2018
,Sant Antoni,2018
,Sant Antoni,2018
,el Poble Sec,2018
,la Nova Esquerra de l'Eixample,2018
,el Poblenou,2018
,el Camp d'en Grassot i Gràcia Nova,2018
,el Camp d'en Grassot i Gràcia Nova,2018
,el Camp de l'Arpa del Clot,2018
,el Poble Sec,2018
,l'Antiga Esquerra de l'Eixample,2018
,Sant Genís dels Agudells,2018
,Sant Antoni,2018
,Sant Antoni,2018
,Sant Antoni,2018
,el Camp d'en Grassot i Gràcia Nova,2018
,la Sagrada Família,2018
,Sant Antoni,2018
,la Dreta de l'Eixample,2018
,la Dreta de l'Eixample,2018
,Sant Antoni,2018
,el Poblenou,2018
,el Poblenou,2018
,Sant Antoni,2018
,la Nova Esquerra de l'Eixample,2018
,Sant Antoni,2018
,Sant Antoni,2018
,Hostafrancs,2018
,el Poblenou,2018
,Sants,2018
,l'Antiga Esquerra de l'Eixample,2018
,l'Antiga Esquerra de l'Eixample,2018
,Sant Antoni,2018
,Sant Antoni,2018
,Sant Antoni,2018
,Sant Antoni,2018
,Hostafrancs,2018
,Hostafrancs,2018
,Sant Antoni,2018
,el Baix Guinardó,2018
,Hostafrancs,2018
,la Sagrada Família,2018
,Hostafrancs,2018
,Hostafrancs,2018
,Hostafrancs,2018
,la Nova Esquerra de l'Eixample,2018
,la Nova Esquerra de l'Eixample,2018
,la Dreta de l'Eixample,2018
,Sant Antoni,2018
,Sant Antoni,2018
,Hostafrancs,2018
,la Dreta de l'Eixample,2018
,Sant Antoni,2018
,Sant Antoni,2018
,la Sagrada Família,2018
,Sant Antoni,2018
,el Poble Sec,2018
,la Dreta de l'Eixample,2018
,el Raval,2018
,el Camp de l'Arpa del Clot,2018
,el Camp de l'Arpa del Clot,2018
,el Raval,2018
,el Raval,2018
,el Raval,2018
,la Dreta de l'Eixample,2018
,el Poblenou,2018
,el Camp de l'Arpa del Clot,2018
,la Vila de Gràcia,2018
,el Camp de l'Arpa del Clot,2018
,la Nova Esquerra de l'Eixample,2018
,la Sagrada Família,2018
,la Nova Esquerra de l'Eixample,2018
,Diagonal Mar i el Front Marítim del Poblenou,2018
,el Poblenou,2018
,el Poble Sec,2018
,el Barri Gòtic,2018
,el Raval,2018
,el Raval,2018
,el Raval,2018
,el Raval,2018
,el Raval,2018
,el Raval,2018
,el Raval,2018
,el Poblenou,2018
,la Sagrada Família,2018
,la Vila de Gràcia,2018
,la Vila de Gràcia,2018
,la Dreta de l'Eixample,2018
,la Dreta de l'Eixample,2018
,Sant Gervasi - Galvany,2018
,el Barri Gòtic,2018
,la Vila de Gràcia,2018
,la Vila Olímpica del Poblenou,2018
,el Poble Sec,2018
,l'Antiga Esquerra de l'Eixample,2018
,l'Antiga Esquerra de l'Eixample,2018
,l'Antiga Esquerra de l'Eixample,2018
,la Dreta de l'Eixample,2018
,Sant Antoni,2018
,la Vila de Gràcia,2018
,el Barri Gòtic,2018
,el Barri Gòtic,2018
,el Guinardó,2018
,l'Antiga Esquerra de l'Eixample,2018
