addresses_neighborhood_id,addresses_neighborhood_name,name,created,modified
23,Sarrià,L'Estació dels FGC de Sarrià,2017-02-09T12:05:55,2021-09-09T02:16:39.681851
11,el Poble-sec,Fira Barcelona,1996-09-18T00:00:00,2024-03-07T14:26:07.265725
18,Sants,Centre Cívic Cotxeres de Sants,1984-05-30T00:00:00,2024-07-23T10:39:13.417344
31,la Vila de Gràcia,Edifici Puiggròs,2017-02-07T14:01:16,2021-09-09T02:16:06.194016
25,Sant Gervasi - la Bonanova,Parc Torrent Maduixer,2013-10-25T12:21:13,2024-11-21T15:01:42.917770
21,Pedralbes,Jardins Creu de Pedralbes,1999-12-01T00:00:00,2024-11-21T15:01:44.862884
31,la Vila de Gràcia,Oratori de Sant Felip Neri *Gràcia,2002-07-31T17:41:18,2022-09-17T05:58:19.363864
25,Sant Gervasi - la Bonanova,Centre Cívic Vil·la Florida,2007-03-27T09:49:55,2024-06-04T13:03:15.029752
2,el Barri Gòtic,Casa Sarriera,2017-01-27T13:17:27,2021-09-09T02:15:50.212536
71,Provençals del Poblenou,Parc del Centre del Poblenou,2008-02-26T14:55:46,2024-11-21T15:01:43.561392
11,el Poble-sec,Font Màgica - Fonts de Montjuïc *Aturada degut a la situació d'alerta per sequera,1995-03-28T00:00:00,2024-10-03T12:01:49.095863
25,Sant Gervasi - la Bonanova,Restaurant El Asador de Aranda *Av Tibidabo,1996-09-18T00:00:00,2023-10-03T10:44:47.012388
18,Sants,Federació Eix Comercial Sants-Les Corts,2007-09-19T19:22:02,2024-04-08T14:37:39.256725
70,el Besòs i el Maresme,Pèrgola Fotovoltaica al Parc del Fòrum,2004-03-10T15:58:00,2024-10-16T13:08:16.990191
5,el Fort Pienc,Escola Superior de Música de Catalunya,2001-03-22T00:00:00,2024-05-27T10:34:55.643476
16,la Bordeta,Casal Cívic i Comunitari Barcelona - Magòria,2006-05-12T11:58:13,2024-09-06T12:19:32.211111
25,Sant Gervasi - la Bonanova,Escola Business Engineering School - la Salle,2010-09-13T00:00:00,2022-09-17T07:26:06.256553
