Codi_Barri,Nom_Barri,Any,Import_Euros
1,el Raval,2022,12551
1,el Raval,2022,10715
1,el Raval,2022,9937
1,el Raval,2022,12214
1,el Raval,2022,10296
1,el Raval,2022,11108
1,el Raval,2022,10309
1,el Raval,2022,8291
1,el Raval,2022,10703
1,el Raval,2022,9147
1,el Raval,2022,9036
1,el Raval,2022,11443
1,el Raval,2022,11552
1,el Raval,2022,10901
1,el Raval,2022,11387
1,el Raval,2022,10953
1,el Raval,2022,9432
1,el Raval,2022,10776
1,el Raval,2022,10830
1,el Raval,2022,15139
1,el Raval,2022,15240
2,el Barri Gòtic,2022,19287
2,el Barri Gòtic,2022,15904
2,el Barri Gòtic,2022,14845
2,el Barri Gòtic,2022,10510
2,el Barri Gòtic,2022,13737
2,el Barri Gòtic,2022,15029
2,el Barri Gòtic,2022,12481
2,el Barri Gòtic,2022,12469
2,el Barri Gòtic,2022,12030
3,la Barceloneta,2022,15532
3,la Barceloneta,2022,13394
3,la Barceloneta,2022,13482
3,la Barceloneta,2022,13613
3,la Barceloneta,2022,14159
3,la Barceloneta,2022,14693
3,la Barceloneta,2022,12656
3,la Barceloneta,2022,14080
3,la Barceloneta,2022,15078
3,la Barceloneta,2022,13280
3,la Barceloneta,2022,14731
4,"Sant Pere, Santa Caterina i la Ribera",2022,19719
4,"Sant Pere, Santa Caterina i la Ribera",2022,16259
4,"Sant Pere, Santa Caterina i la Ribera",2022,15297
4,"Sant Pere, Santa Caterina i la Ribera",2022,13810
4,"Sant Pere, Santa Caterina i la Ribera",2022,15624
4,"Sant Pere, Santa Caterina i la Ribera",2022,11647
4,"Sant Pere, Santa Caterina i la Ribera",2022,14619
4,"Sant Pere, Santa Caterina i la Ribera",2022,13534
4,"Sant Pere, Santa Caterina i la Ribera",2022,13665
4,"Sant Pere, Santa Caterina i la Ribera",2022,19034
4,"Sant Pere, Santa Caterina i la Ribera",2022,13765
4,"Sant Pere, Santa Caterina i la Ribera",2022,14758
4,"Sant Pere, Santa Caterina i la Ribera",2022,18412
5,el Fort Pienc,2022,17933
5,el Fort Pienc,2022,19019
5,el Fort Pienc,2022,21335
5,el Fort Pienc,2022,16531
5,el Fort Pienc,2022,20296
5,el Fort Pienc,2022,20937
5,el Fort Pienc,2022,23045
5,el Fort Pienc,2022,20725
5,el Fort Pienc,2022,19911
5,el Fort Pienc,2022,18516
5,el Fort Pienc,2022,19653
5,el Fort Pienc,2022,16416
5,el Fort Pienc,2022,17082
5,el Fort Pienc,2022,15988
5,el Fort Pienc,2022,16149
5,el Fort Pienc,2022,21013
5,el Fort Pienc,2022,21296
5,el Fort Pienc,2022,20625
5,el Fort Pienc,2022,19337
5,el Fort Pienc,2022,18059
6,la Sagrada Família,2022,18468
6,la Sagrada Família,2022,18928
6,la Sagrada Família,2022,19440
6,la Sagrada Família,2022,17186
6,la Sagrada Família,2022,17754
6,la Sagrada Família,2022,18005
6,la Sagrada Família,2022,18438
6,la Sagrada Família,2022,18367
6,la Sagrada Família,2022,18702
6,la Sagrada Família,2022,15609
6,la Sagrada Família,2022,20248
6,la Sagrada Família,2022,19674
6,la Sagrada Família,2022,18900
6,la Sagrada Família,2022,17209
6,la Sagrada Família,2022,20008
6,la Sagrada Família,2022,20632
6,la Sagrada Família,2022,21612
6,la Sagrada Família,2022,20868
6,la Sagrada Família,2022,18329
6,la Sagrada Família,2022,16444
6,la Sagrada Família,2022,18547
6,la Sagrada Família,2022,20863
6,la Sagrada Família,2022,19516
6,la Sagrada Família,2022,16881
6,la Sagrada Família,2022,20200
6,la Sagrada Família,2022,17007
6,la Sagrada Família,2022,18239
6,la Sagrada Família,2022,17771
6,la Sagrada Família,2022,17545
6,la Sagrada Família,2022,18491
6,la Sagrada Família,2022,16481
6,la Sagrada Família,2022,19154
6,la Sagrada Família,2022,19573
6,la Sagrada Família,2022,19388
7,la Dreta de l'Eixample,2022,20445
19,les Corts,2022,23761
7,la Dreta de l'Eixample,2022,20737
7,la Dreta de l'Eixample,2022,25636
7,la Dreta de l'Eixample,2022,23306
7,la Dreta de l'Eixample,2022,23195
7,la Dreta de l'Eixample,2022,21540
7,la Dreta de l'Eixample,2022,19849
7,la Dreta de l'Eixample,2022,23161
7,la Dreta de l'Eixample,2022,27244
7,la Dreta de l'Eixample,2022,27497
7,la Dreta de l'Eixample,2022,20692
7,la Dreta de l'Eixample,2022,21195
7,la Dreta de l'Eixample,2022,19030
7,la Dreta de l'Eixample,2022,19626
7,la Dreta de l'Eixample,2022,22385
7,la Dreta de l'Eixample,2022,23770
7,la Dreta de l'Eixample,2022,24664
7,la Dreta de l'Eixample,2022,26310
7,la Dreta de l'Eixample,2022,23724
7,la Dreta de l'Eixample,2022,25788
7,la Dreta de l'Eixample,2022,23374
7,la Dreta de l'Eixample,2022,26807
7,la Dreta de l'Eixample,2022,22220
7,la Dreta de l'Eixample,2022,24597
7,la Dreta de l'Eixample,2022,28148
7,la Dreta de l'Eixample,2022,24917
7,la Dreta de l'Eixample,2022,26267
7,la Dreta de l'Eixample,2022,28514
7,la Dreta de l'Eixample,2022,28846
8,l'Antiga Esquerra de l'Eixample,2022,23283
8,l'Antiga Esquerra de l'Eixample,2022,23564
8,l'Antiga Esquerra de l'Eixample,2022,25124
