CODI_BARRI,NOM_BARRI,DATA_EXPLO,TAULES
71.0,Provençals del Poblenou,2024-02-07T00:00:00,1
11.0,el Poble Sec,2024-02-07T00:00:00,4
52.0,la Prosperitat,2024-02-07T00:00:00,10
6.0,la Sagrada Família,2024-02-07T00:00:00,12
6.0,la Sagrada Família,2024-02-07T00:00:00,6
63.0,Navas,2024-02-07T00:00:00,2
10.0,Sant Antoni,2024-02-07T00:00:00,4
6.0,la Sagrada Família,2024-02-07T00:00:00,4
2.0,el Barri Gòtic,2024-02-07T00:00:00,12
45.0,Porta,2024-02-07T00:00:00,4
66.0,el Parc i la Llacuna del Poblenou,2024-02-07T00:00:00,4
65.0,el Clot,2024-02-07T00:00:00,5
34.0,Can Baró,2024-02-07T00:00:00,9
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,2
3.0,la Barceloneta,2024-02-07T00:00:00,9
73.0,la Verneda i la Pau,2024-02-07T00:00:00,4
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,2
15.0,Hostafrancs,2024-02-07T00:00:00,6
3.0,la Barceloneta,2024-02-07T00:00:00,12
2.0,el Barri Gòtic,2024-02-07T00:00:00,16
6.0,la Sagrada Família,2024-02-07T00:00:00,1
6.0,la Sagrada Família,2024-02-07T00:00:00,8
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,12
64.0,el Camp de l'Arpa del Clot,2024-02-07T00:00:00,6
68.0,el Poblenou,2024-02-07T00:00:00,6
1.0,el Raval,2024-02-07T00:00:00,8
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,4
13.0,la Marina de Port,2024-02-07T00:00:00,4
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,3
2.0,el Barri Gòtic,2024-02-07T00:00:00,12
1.0,el Raval,2024-02-07T00:00:00,6
3.0,la Barceloneta,2024-02-07T00:00:00,12
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,4
2.0,el Barri Gòtic,2024-02-07T00:00:00,4
19.0,les Corts,2024-02-07T00:00:00,6
1.0,el Raval,2024-02-07T00:00:00,4
2.0,el Barri Gòtic,2024-02-07T00:00:00,4
3.0,la Barceloneta,2024-02-07T00:00:00,18
2.0,el Barri Gòtic,2024-02-07T00:00:00,4
1.0,el Raval,2024-02-07T00:00:00,4
3.0,la Barceloneta,2024-02-07T00:00:00,12
44.0,Vilapicina i la Torre Llobeta,2024-02-07T00:00:00,4
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,2
1.0,el Raval,2024-02-07T00:00:00,20
1.0,el Raval,2024-02-07T00:00:00,4
1.0,el Raval,2024-02-07T00:00:00,20
52.0,la Prosperitat,2024-02-07T00:00:00,5
1.0,el Raval,2024-02-07T00:00:00,6
4.0,"Sant Pere, Santa Caterina i la Ribera",2024-02-07T00:00:00,6
2.0,el Barri Gòtic,2024-02-07T00:00:00,12
3.0,la Barceloneta,2024-02-07T00:00:00,9
2.0,el Barri Gòtic,2024-02-07T00:00:00,24
2.0,el Barri Gòtic,2024-02-07T00:00:00,8
4.0,"Sant Pere, Santa Caterina i la Ribera",2024-02-07T00:00:00,4
52.0,la Prosperitat,2024-02-07T00:00:00,4
2.0,el Barri Gòtic,2024-02-07T00:00:00,30
2.0,el Barri Gòtic,2024-02-07T00:00:00,24
23.0,Sarrià,2024-02-07T00:00:00,3
18.0,Sants,2024-02-07T00:00:00,4
51.0,Verdun,2024-02-07T00:00:00,5
1.0,el Raval,2024-02-07T00:00:00,8
63.0,Navas,2024-02-07T00:00:00,2
6.0,la Sagrada Família,2024-02-07T00:00:00,4
52.0,la Prosperitat,2024-02-07T00:00:00,6
6.0,la Sagrada Família,2024-02-07T00:00:00,4
2.0,el Barri Gòtic,2024-02-07T00:00:00,8
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,3
3.0,la Barceloneta,2024-02-07T00:00:00,12
60.0,Sant Andreu,2024-02-07T00:00:00,3
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,4
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,12
10.0,Sant Antoni,2024-02-07T00:00:00,2
1.0,el Raval,2024-02-07T00:00:00,8
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,4
3.0,la Barceloneta,2024-02-07T00:00:00,12
72.0,Sant Martí de Provençals,2024-02-07T00:00:00,4
62.0,el Congrés i els Indians,2024-02-07T00:00:00,5
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,3
10.0,Sant Antoni,2024-02-07T00:00:00,11
52.0,la Prosperitat,2024-02-07T00:00:00,3
4.0,"Sant Pere, Santa Caterina i la Ribera",2024-02-07T00:00:00,3
3.0,la Barceloneta,2024-02-07T00:00:00,6
6.0,la Sagrada Família,2024-02-07T00:00:00,12
2.0,el Barri Gòtic,2024-02-07T00:00:00,6
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,4
51.0,Verdun,2024-02-07T00:00:00,6
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,8
6.0,la Sagrada Família,2024-02-07T00:00:00,2
3.0,la Barceloneta,2024-02-07T00:00:00,9
19.0,les Corts,2024-02-07T00:00:00,3
19.0,les Corts,2024-02-07T00:00:00,7
71.0,Provençals del Poblenou,2024-02-07T00:00:00,5
61.0,la Sagrera,2024-02-07T00:00:00,4
