Codi_Barri,Nom_Barri,Id_Instal
26,Galvany,186
26,Galvany,187
2,el Barri Gòtic,206
1,el Raval,207
4,"Sant Pere, Santa Caterina i la Ribera",208
18,Sants,246
26,Galvany,267
1,el Raval,268
18,Sants,326
26,Galvany,346
26,Galvany,347
1,el Raval,366
1,el Raval,389
1,el Raval,390
25,la Bonanova,391
31,la Vila de Gràcia,406
18,Sants,426
57,la Trinitat Vella,428
66,el Parc i la Llacuna del Poblenou,446
66,el Parc i la Llacuna del Poblenou,447
19,les Corts,466
31,la Vila de Gràcia,486
31,la Vila de Gràcia,487
7,la Dreta de l'Eixample,488
7,la Dreta de l'Eixample,489
7,la Dreta de l'Eixample,490
7,la Dreta de l'Eixample,491
10,Sant Antoni,492
11,el Poble Sec,493
10,Sant Antoni,494
11,el Poble Sec,495
11,el Poble Sec,496
11,el Poble Sec,497
20,la Maternitat i Sant Ramon,509
20,la Maternitat i Sant Ramon,510
20,la Maternitat i Sant Ramon,511
20,la Maternitat i Sant Ramon,512
20,la Maternitat i Sant Ramon,513
20,la Maternitat i Sant Ramon,514
20,la Maternitat i Sant Ramon,515
20,la Maternitat i Sant Ramon,516
20,la Maternitat i Sant Ramon,517
4,"Sant Pere, Santa Caterina i la Ribera",526
11,el Poble Sec,527
1,el Raval,546
69,Diagonal Mar i el Front Marítim del Poblenou,586
45,Porta,606
68,el Poblenou,607
4,"Sant Pere, Santa Caterina i la Ribera",626
26,Galvany,647
26,Galvany,648
31,la Vila de Gràcia,650
8,l'Antiga Esquerra de l'Eixample,651
26,Galvany,652
26,Galvany,653
7,la Dreta de l'Eixample,654
7,la Dreta de l'Eixample,655
7,la Dreta de l'Eixample,656
7,la Dreta de l'Eixample,657
31,la Vila de Gràcia,658
43,Horta,659
72,Sant Martí de Provençals,666
1,el Raval,927
72,Sant Martí de Provençals,667
7,la Dreta de l'Eixample,669
7,la Dreta de l'Eixample,670
5,el Fort Pienc,671
64,el Camp de l'Arpa del Clot,686
5,el Fort Pienc,707
19,les Corts,726
25,la Bonanova,727
25,la Bonanova,728
66,el Parc i la Llacuna del Poblenou,786
58,Baró de Viver,806
1,el Raval,826
1,el Raval,827
8,l'Antiga Esquerra de l'Eixample,846
19,les Corts,847
2,el Barri Gòtic,926
3,la Barceloneta,928
32,el Camp d'en Grassot i Gràcia Nova,966
31,la Vila de Gràcia,1006
12,la Marina del Prat Vermell,1026
12,la Marina del Prat Vermell,1027
31,la Vila de Gràcia,1046
4,"Sant Pere, Santa Caterina i la Ribera",1086
65,el Clot,1106
26,Galvany,1126
35,el Guinardó,1146
7,la Dreta de l'Eixample,1166
7,la Dreta de l'Eixample,1167
7,la Dreta de l'Eixample,1168
5,el Fort Pienc,1169
7,la Dreta de l'Eixample,1170
31,la Vila de Gràcia,1171
31,la Vila de Gràcia,1172
7,la Dreta de l'Eixample,1173
7,la Dreta de l'Eixample,1174
7,la Dreta de l'Eixample,1175
7,la Dreta de l'Eixample,1186
7,la Dreta de l'Eixample,1187
7,la Dreta de l'Eixample,1188
5,el Fort Pienc,1189
7,la Dreta de l'Eixample,1190
31,la Vila de Gràcia,1191
31,la Vila de Gràcia,1192
7,la Dreta de l'Eixample,1193
7,la Dreta de l'Eixample,1194
7,la Dreta de l'Eixample,1195
7,la Dreta de l'Eixample,1196
7,la Dreta de l'Eixample,1197
20,la Maternitat i Sant Ramon,1226
69,Diagonal Mar i el Front Marítim del Poblenou,1227
23,Sarrià,1228
3,la Barceloneta,1248
11,el Poble Sec,1266
8,l'Antiga Esquerra de l'Eixample,1286
11,el Poble Sec,1287
16,la Bordeta,1288
31,la Vila de Gràcia,1289
23,Sarrià,1290
23,Sarrià,1291
54,Torre Baró,1306
69,Diagonal Mar i el Front Marítim del Poblenou,1326
68,el Poblenou,1346
66,el Parc i la Llacuna del Poblenou,1347
66,el Parc i la Llacuna del Poblenou,1348
68,el Poblenou,1349
26,Galvany,1386
26,Galvany,1387
10,Sant Antoni,1388
10,Sant Antoni,1389
9,la Nova Esquerra de l'Eixample,1566
18,Sants,1586
9,la Nova Esquerra de l'Eixample,1606
26,Galvany,1627
68,el Poblenou,1686
18,Sants,1726
3,la Barceloneta,1746
31,la Vila de Gràcia,1866
31,la Vila de Gràcia,1867
31,la Vila de Gràcia,1868
31,la Vila de Gràcia,1869
31,la Vila de Gràcia,1870
31,la Vila de Gràcia,1871
31,la Vila de Gràcia,1872
31,la Vila de Gràcia,1873
31,la Vila de Gràcia,1874
31,la Vila de Gràcia,1875
31,la Vila de Gràcia,1886
31,la Vila de Gràcia,1887
68,el Poblenou,1888
63,Navas,1906
21,Pedralbes,1926
21,Pedralbes,1946
1,el Raval,1947
1,el Raval,1948
56,Vallbona,1967
56,Vallbona,1968
1,el Raval,1987
2,el Barri Gòtic,1988
7,la Dreta de l'Eixample,1989
24,les Tres Torres,2006
28,Vallcarca i els Penitents,2026
23,Sarrià,2027
43,Horta,2028
32,el Camp d'en Grassot i Gràcia Nova,2046
32,el Camp d'en Grassot i Gràcia Nova,2047
32,el Camp d'en Grassot i Gràcia Nova,2048
32,el Camp d'en Grassot i Gràcia Nova,2049
